Ytrue Ypred RelError Label
1.780000e+11 1.499018e+11 1.578548e-01 SC2973
2.150000e+11 2.504715e+11 1.649839e-01 SC312v2
2.670000e+11 3.843181e+11 4.393935e-01 SC312v6
7.090000e+12 5.859147e+12 1.736042e-01 SC3132v3
3.870000e+12 4.072163e+12 5.223845e-02 SC3132v5
1.910000e+12 2.012902e+12 5.387535e-02 SC3152v1
3.100000e+12 3.000463e+12 3.210859e-02 SC3152v3
3.630000e+11 4.413821e+11 2.159287e-01 SC320v10
4.500000e+11 3.213160e+11 2.859644e-01 SC320v7
1.940000e+11 2.077770e+11 7.101563e-02 SC3252v1
1.170000e+11 1.461220e+11 2.489062e-01 SC3383v1
9.310000e+11 1.187194e+12 2.751813e-01 SC3383v2
8.780000e+12 6.851683e+12 2.196261e-01 SC3411v10
7.570000e+12 7.691518e+12 1.605261e-02 SC3411v9
7.170000e+11 9.125097e+11 2.726774e-01 SC342v1
5.310000e+12 4.052123e+12 2.368883e-01 SC3491v2
7.230000e+12 4.066523e+12 4.375487e-01 SC3492v1
1.630000e+13 7.354331e+12 5.488140e-01 SC3501v6
1.600000e+13 8.195379e+12 4.877888e-01 SC3501v9
9.880000e+12 6.775013e+12 3.142699e-01 SC3502v10
1.520000e+13 7.476751e+12 5.081085e-01 SC3502v8
1.440000e+13 8.393088e+12 4.171466e-01 SC3503
1.490000e+12 1.690707e+12 1.347029e-01 SC3753v2
3.000000e+12 3.886440e+12 2.954798e-01 SC3753v5
3.200000e+12 4.043983e+12 2.637447e-01 SC3753v7
4.480000e+12 4.874983e+12 8.816576e-02 SC4023v2
7.210000e+12 6.517953e+12 9.598435e-02 SC4023v3
2.070000e+12 3.123348e+12 5.088637e-01 SC4023v5
