Ytrue Ypred RelError Label
1.780000e+11 1.166863e+11 3.444592e-01 SC2973
2.150000e+11 1.776615e+11 1.736672e-01 SC312v2
2.670000e+11 3.192803e+11 1.958063e-01 SC312v6
7.090000e+12 4.957025e+12 3.008427e-01 SC3132v3
3.870000e+12 2.166772e+12 4.401106e-01 SC3132v5
1.910000e+12 1.855163e+12 2.871030e-02 SC3152v1
3.100000e+12 2.019667e+12 3.484944e-01 SC3152v3
3.630000e+11 2.570327e+11 2.919210e-01 SC320v10
4.500000e+11 3.003163e+11 3.326305e-01 SC320v7
1.940000e+11 1.291132e+11 3.344680e-01 SC3252v1
1.170000e+11 1.340572e+11 1.457877e-01 SC3383v1
9.310000e+11 1.092521e+12 1.734921e-01 SC3383v2
8.780000e+12 3.705041e+12 5.780136e-01 SC3411v10
7.570000e+12 5.262376e+12 3.048380e-01 SC3411v9
7.170000e+11 7.921186e+11 1.047679e-01 SC342v1
5.310000e+12 2.644271e+12 5.020205e-01 SC3491v2
7.230000e+12 2.895840e+12 5.994688e-01 SC3492v1
1.630000e+13 3.763722e+12 7.690968e-01 SC3501v6
1.600000e+13 4.407490e+12 7.245319e-01 SC3501v9
9.880000e+12 4.728787e+12 5.213779e-01 SC3502v10
1.520000e+13 3.875292e+12 7.450466e-01 SC3502v8
1.440000e+13 3.710627e+12 7.423176e-01 SC3503
1.490000e+12 1.190150e+12 2.012414e-01 SC3753v2
3.000000e+12 1.563005e+12 4.789982e-01 SC3753v5
3.200000e+12 2.325650e+12 2.732343e-01 SC3753v7
4.480000e+12 3.819993e+12 1.473230e-01 SC4023v2
7.210000e+12 4.613936e+12 3.600643e-01 SC4023v3
2.070000e+12 1.947971e+12 5.895104e-02 SC4023v5
