T d154 d184 d214 d244
d 150 180 210 240
290 1.222595284E+00 1.222285459E+00 1.221957922E+00 1.222002655E+00
295 1.220771588E+00 1.220586882E+00 1.220261915E+00 1.220271967E+00
300 1.219963819E+00 1.219766756E+00 1.219519846E+00 1.219322734E+00
305 1.219623854E+00 1.219377100E+00 1.219094611E+00 1.218834903E+00
310 1.219349486E+00 1.218985895E+00 1.218635947E+00 1.218225660E+00
315 1.218053996E+00 1.217713564E+00 1.217078585E+00 1.216465957E+00
320 1.215108943E+00 1.214342265E+00 1.213201794E+00 1.211957758E+00
325 1.207095505E+00 1.205431622E+00 1.203314918E+00 1.200999914E+00
330 1.188902813E+00 1.185653428E+00 1.181690451E+00 1.177420227E+00
335 1.151276703E+00 1.145457079E+00 1.138452749E+00 1.131003105E+00
340 1.083066657E+00 1.073723068E+00 1.062728388E+00 1.051043803E+00
