T d154 d184 d214 d244
d 150 180 210 240
290 1.279461591E+00 1.279771470E+00 1.279747880E+00 1.279687886E+00
295 1.277963292E+00 1.277985727E+00 1.278152378E+00 1.278031127E+00
300 1.276973194E+00 1.276746692E+00 1.276872601E+00 1.276920049E+00
305 1.277279325E+00 1.277009448E+00 1.277096528E+00 1.277208885E+00
310 1.278463250E+00 1.278390255E+00 1.278212867E+00 1.278412947E+00
315 1.280054661E+00 1.279974041E+00 1.279749089E+00 1.280032915E+00
320 1.282837382E+00 1.282949929E+00 1.282553363E+00 1.282784179E+00
325 1.286107296E+00 1.286177876E+00 1.285804248E+00 1.285827245E+00
330 1.289404763E+00 1.289503071E+00 1.289362812E+00 1.289116613E+00
335 1.293359052E+00 1.293493257E+00 1.293328272E+00 1.293143860E+00
340 1.297357738E+00 1.297447923E+00 1.297236387E+00 1.297087527E+00
