fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
T01_280 T01_280.dat 280 41.41 1.000E+000 1.172E+001 5.515E-005 1.000E+020 1.822E+000 9.385E-004 9.573E-004 
T02_285 T02_285.dat 285 40.68 1.000E+000 1.060E+001 5.890E-005 1.000E+020 1.821E+000 9.223E-004 9.210E-004 
T03_290 T03_290.dat 290 39.98 1.000E+000 9.675E+000 6.273E-005 1.000E+020 1.815E+000 9.121E-004 9.495E-004 
T04_295 T04_295.dat 295 39.3 1.000E+000 8.902E+000 6.676E-005 1.000E+020 1.811E+000 9.000E-004 9.656E-004 
T05_300 T05_300.dat 300 38.65 1.000E+000 8.713E+000 7.092E-005 1.000E+020 1.802E+000 8.907E-004 1.039E-003 
T06_305 T06_305.dat 305 38.01 1.000E+000 8.074E+000 7.511E-005 1.000E+020 1.803E+000 8.683E-004 1.047E-003 
T07_310 T07_310.dat 310 37.4 1.000E+000 7.433E+000 7.954E-005 1.000E+020 1.793E+000 8.591E-004 1.184E-003 
T08_315 T08_315.dat 315 36.81 1.000E+000 6.826E+000 8.409E-005 1.000E+020 1.786E+000 8.459E-004 1.384E-003 
T09_320 T09_320.dat 320 36.23 1.000E+000 6.248E+000 8.879E-005 1.000E+020 1.772E+000 8.372E-004 1.674E-003 
T10_325 T10_325.dat 325 35.67 1.000E+000 5.722E+000 9.364E-005 1.000E+020 1.754E+000 8.293E-004 2.051E-003 
T11_330 T11_330.dat 330 35.13 1.000E+000 5.215E+000 9.865E-005 1.000E+020 1.732E+000 8.226E-004 2.519E-003 
T12_335 T12_335.dat 335 34.61 1.000E+000 4.748E+000 1.038E-004 1.000E+020 1.704E+000 8.174E-004 3.084E-003 
T13_340 T13_340.dat 340 34.1 1.000E+000 4.708E+000 1.092E-004 1.000E+020 1.660E+000 8.212E-004 3.642E-003 
