N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 1.778E+16 300 3.800E-4 3.748394E+1 1.880840E+1 6.066590E-1 8.271060E+1
1.468000E+10 1.778E+16 300 3.800E-4 3.737573E+1 1.873500E+1 6.061090E-1 8.270150E+1
2.154000E+10 1.778E+16 300 3.800E-4 3.722561E+1 1.863360E+1 6.053570E-1 8.268800E+1
3.162000E+10 1.778E+16 300 3.800E-4 3.702202E+1 1.848890E+1 6.043550E-1 8.263410E+1
4.642000E+10 1.778E+16 300 3.800E-4 3.675396E+1 1.831000E+1 6.030650E-1 8.260780E+1
6.813000E+10 1.778E+16 300 3.800E-4 3.641380E+1 1.808520E+1 6.014640E-1 8.257490E+1
1.000000E+11 1.778E+16 300 3.800E-4 3.600037E+1 1.781450E+1 5.995300E-1 8.253820E+1
1.468000E+11 1.778E+16 300 3.800E-4 3.552055E+1 1.750260E+1 5.972430E-1 8.250310E+1
2.154000E+11 1.778E+16 300 3.800E-4 3.498739E+1 1.715720E+1 5.947390E-1 8.245360E+1
3.162000E+11 1.778E+16 300 3.800E-4 3.441510E+1 1.678020E+1 5.920460E-1 8.235550E+1
4.642000E+11 1.778E+16 300 3.800E-4 3.381342E+1 1.639290E+1 5.891200E-1 8.229330E+1
6.813000E+11 1.778E+16 300 3.800E-4 3.318530E+1 1.598900E+1 5.859100E-1 8.223270E+1
1.000000E+12 1.778E+16 300 3.800E-4 3.252839E+1 1.555930E+1 5.825210E-1 8.211390E+1
1.468000E+12 1.778E+16 300 3.800E-4 3.183845E+1 1.511810E+1 5.788650E-1 8.202930E+1
2.154000E+12 1.778E+16 300 3.800E-4 3.111184E+1 1.465680E+1 5.748980E-1 8.194500E+1
3.162000E+12 1.778E+16 300 3.800E-4 3.034627E+1 1.416760E+1 5.707650E-1 8.179640E+1
4.642000E+12 1.778E+16 300 3.800E-4 2.954066E+1 1.366670E+1 5.662840E-1 8.169780E+1
6.813000E+12 1.778E+16 300 3.800E-4 2.869487E+1 1.314040E+1 5.616580E-1 8.153280E+1
1.000000E+13 1.778E+16 300 3.800E-4 2.780968E+1 1.260450E+1 5.567450E-1 8.140940E+1
1.468000E+13 1.778E+16 300 3.800E-4 2.688681E+1 1.204800E+1 5.516920E-1 8.122320E+1
2.154000E+13 1.778E+16 300 3.800E-4 2.592900E+1 1.148590E+1 5.463780E-1 8.107460E+1
3.162000E+13 1.778E+16 300 3.800E-4 2.494003E+1 1.090910E+1 5.409670E-1 8.085750E+1
4.642000E+13 1.778E+16 300 3.800E-4 2.392469E+1 1.033250E+1 5.352840E-1 8.068150E+1
6.813000E+13 1.778E+16 300 3.800E-4 2.288873E+1 9.748200E+0 5.295470E-1 8.042600E+1
1.000000E+14 1.778E+16 300 3.800E-4 2.183874E+1 9.171200E+0 5.235520E-1 8.021160E+1
