f G/w
1.0000000E+6 2.4704845E-5
8.9779585E+5 2.5071709E-5
8.0603739E+5 2.6064441E-5
7.2365703E+5 2.7020970E-5
6.4969628E+5 2.8056554E-5
5.8329463E+5 2.9186274E-5
5.2367949E+5 3.0403122E-5
4.7015728E+5 3.1663185E-5
4.2210526E+5 3.2796460E-5
3.7896435E+5 3.4121519E-5
3.4023262E+5 3.5430587E-5
3.0545943E+5 3.6740745E-5
2.7424021E+5 3.8078163E-5
2.4621173E+5 3.9415698E-5
2.2104787E+5 4.0796992E-5
1.9845586E+5 4.2230701E-5
1.7817285E+5 4.3773696E-5
1.5996284E+5 4.5406802E-5
1.4361398E+5 4.7196187E-5
1.2893603E+5 4.9191846E-5
1.1575824E+5 5.1436991E-5
1.0392726E+5 5.3982470E-5
9.3305466E+4 5.6847563E-5
8.3769261E+4 6.0085952E-5
7.5207695E+4 6.3758105E-5
6.7521156E+4 6.7891779E-5
6.0620214E+4 7.2540368E-5
5.4424577E+4 7.7766318E-5
4.8862159E+4 8.3649733E-5
4.3868244E+4 9.0235911E-5
3.9384728E+4 9.7547778E-5
3.5359445E+4 1.0573727E-4
3.1745563E+4 1.1485219E-4
2.8501035E+4 1.2488954E-4
2.5588111E+4 1.3606781E-4
2.2972900E+4 1.4844775E-4
2.0624974E+4 1.6216854E-4
1.8517016E+4 1.7739299E-4
1.6624501E+4 1.9419671E-4
1.4925408E+4 2.1287047E-4
1.3399969E+4 2.3349033E-4
1.2030437E+4 2.5634467E-4
1.0800876E+4 2.8153533E-4
9.6969820E+3 3.0956505E-4
8.7059100E+3 3.4060977E-4
7.8161300E+3 3.7501783E-4
7.0172890E+3 4.1336404E-4
6.3000930E+3 4.5592867E-4
5.6561970E+3 5.0346090E-4
5.0781110E+3 5.5638649E-4
4.5591070E+3 6.1540261E-4
4.0931470E+3 6.8122927E-4
3.6748100E+3 7.5472708E-4
3.2992300E+3 8.3664985E-4
2.9620350E+3 9.2796327E-4
2.6593020E+3 1.0302394E-3
2.3875110E+3 1.1441391E-3
2.1434970E+3 1.2708036E-3
1.9244230E+3 1.4126817E-3
1.7277390E+3 1.5713327E-3
1.5511570E+3 1.7469499E-3
1.3926220E+3 1.9424646E-3
1.2502900E+3 2.1620435E-3
1.1225050E+3 2.4056549E-3
1.0077810E+3 2.6781142E-3
9.0478100E+2 2.9811884E-3
8.1230900E+2 3.3191425E-3
7.2928800E+2 3.6959026E-3
6.5475100E+2 4.1130868E-3
5.8783300E+2 4.5818636E-3
5.2775400E+2 5.1012732E-3
4.7381500E+2 5.6809950E-3
4.2539000E+2 6.3276466E-3
3.8191300E+2 7.0452483E-3
3.4288000E+2 7.8481669E-3
3.0783600E+2 8.7406519E-3
2.7637400E+2 9.7326422E-3
2.4812700E+2 1.0836060E-2
2.2276800E+2 1.2072975E-2
2.0000000E+2 1.3447363E-2
