f G/w
1.0000000E+6 7.5157347E-6
8.9779585E+5 7.4482226E-6
8.0603739E+5 7.6057962E-6
7.2365703E+5 7.4829712E-6
6.4969628E+5 7.6045355E-6
5.8329463E+5 7.7262560E-6
5.2367949E+5 7.8389220E-6
4.7015728E+5 7.9134658E-6
4.2210526E+5 7.9581125E-6
3.7896435E+5 7.9555133E-6
3.4023262E+5 7.8980481E-6
3.0545943E+5 7.7893923E-6
2.7424021E+5 7.6408370E-6
2.4621173E+5 7.4414227E-6
2.2104787E+5 7.2003346E-6
1.9845586E+5 6.9159340E-6
1.7817285E+5 6.6188086E-6
1.5996284E+5 6.2845719E-6
1.4361398E+5 5.9369724E-6
1.2893603E+5 5.5895317E-6
1.1575824E+5 5.2477325E-6
1.0392726E+5 4.9222235E-6
9.3305466E+4 4.5961557E-6
8.3769261E+4 4.2892680E-6
7.5207695E+4 4.0012438E-6
6.7521156E+4 3.7251825E-6
6.0620214E+4 3.4926261E-6
5.4424577E+4 3.2690944E-6
4.8862159E+4 3.0770056E-6
4.3868244E+4 2.9197162E-6
3.9384728E+4 2.7482726E-6
3.5359445E+4 2.6673014E-6
3.1745563E+4 2.6139233E-6
2.8501035E+4 2.4995254E-6
2.5588111E+4 2.4275705E-6
2.2972900E+4 2.3803040E-6
2.0624974E+4 2.3376901E-6
1.8517016E+4 2.3470214E-6
1.6624501E+4 2.3850175E-6
1.4925408E+4 2.4437270E-6
1.3399969E+4 2.4917635E-6
1.2030437E+4 2.5965137E-6
1.0800876E+4 2.6327130E-6
9.6969820E+3 2.7805559E-6
8.7059100E+3 2.8905399E-6
7.8161300E+3 3.0677536E-6
7.0172890E+3 3.2025387E-6
6.3000930E+3 3.3992338E-6
5.6561970E+3 3.6821289E-6
5.0781110E+3 3.9056340E-6
4.5591070E+3 4.2506127E-6
4.0931470E+3 4.6228076E-6
3.6748100E+3 5.0236331E-6
3.2992300E+3 5.4536399E-6
2.9620350E+3 5.8866495E-6
2.6593020E+3 6.4430695E-6
2.3875110E+3 7.1573786E-6
2.1434970E+3 8.0003983E-6
1.9244230E+3 8.7837440E-6
1.7277390E+3 9.5038972E-6
1.5511570E+3 1.0747350E-5
1.3926220E+3 1.1460681E-5
1.2502900E+3 1.3261066E-5
1.1225050E+3 1.4440888E-5
1.0077810E+3 1.6127156E-5
9.0478100E+2 1.7251716E-5
8.1230900E+2 2.0058593E-5
7.2928800E+2 2.3237315E-5
6.5475100E+2 2.5536125E-5
5.8783300E+2 2.8547755E-5
5.2775400E+2 2.9762951E-5
4.7381500E+2 3.4886648E-5
4.2539000E+2 3.8122765E-5
3.8191300E+2 4.3188620E-5
3.4288000E+2 4.6703224E-5
3.0783600E+2 5.0879737E-5
2.7637400E+2 5.6349658E-5
2.4812700E+2 6.3947007E-5
2.2276800E+2 7.3014996E-5
2.0000000E+2 7.7330081E-5
