T nFsrh nFBsrh dnsrh nF nFB dn
290 1.147458769E+00 1.128591738E+00 1.886703100E-02 1.147448034E+00 1.128580898E+00 1.886713600E-02
295 1.145395054E+00 1.133852574E+00 1.154248000E-02 1.145332545E+00 1.133837533E+00 1.149501200E-02
300 1.13028913E+00 1.138697488E+00 -8.408358000E-03 1.13028913E+00 1.138678091E+00 -8.388961000E-03
305 1.107851593E+00 1.142614723E+00 -3.476313000E-02 1.107834576E+00 1.142589917E+00 -3.475534100E-02
310 1.094870686E+00 1.144567816E+00 -4.969713000E-02 1.092640760E+00 1.144536093E+00 -5.189533300E-02
315 1.070651384E+00 1.120443013E+00 -4.979162900E-02 1.070638210E+00 1.120398161E+00 -4.975995100E-02
320 1.009184244E+00 1.095480086E+00 -8.629584200E-02 1.009175361E+00 1.095447732E+00 -8.627237100E-02
325 1.008251244E+00 1.056538153E+00 -4.828690900E-02 1.008198253E+00 1.056516260E+00 -4.831800700E-02
330 1.008019424E+00 1.011010061E+00 -2.990637000E-03 1.008010571E+00 1.011404302E+00 -3.393731000E-03
335 1.009411919E+00 1.009898345E+00 -4.864260000E-04 1.009401637E+00 1.009874862E+00 -4.732250000E-04
340 1.012144200E+00 1.011471065E+00 6.731350000E-04 1.012131977E+00 1.011444929E+00 6.870480000E-04
