T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 -1.448292000E-03 1.356180500E-02 2.180973200E-02 2.647641500E-02 3.114020200E-02 3.955620600E-02 4.751758200E-02 4.889640900E-02 4.556859000E-02
295 -1.658223200E-02 9.348567000E-03 2.047431200E-02 2.637647600E-02 3.072255500E-02 3.905361600E-02 4.731349500E-02 4.959473100E-02 4.734436200E-02
300 -4.882779800E-02 -3.951390000E-04 1.777856100E-02 2.554636700E-02 3.049148700E-02 3.890683100E-02 4.814333500E-02 5.146164400E-02 4.988540000E-02
305 -1.100642870E-01 -2.052302400E-02 1.161017700E-02 2.384015500E-02 3.050943400E-02 3.947148400E-02 4.909752500E-02 5.353673100E-02 5.370792100E-02
310 -1.660722180E-01 -5.946039800E-02 -6.719290000E-04 1.986794200E-02 2.981349100E-02 3.992243600E-02 5.045076600E-02 5.612733400E-02 5.759791500E-02
315 -1.394312300E-01 -1.274722240E-01 -2.400178000E-02 1.313005200E-02 2.814940100E-02 4.025097500E-02 5.264895300E-02 5.978077500E-02 6.190392800E-02
320 -7.720250600E-02 -1.729323340E-01 -6.674448100E-02 -1.440250000E-04 2.496798500E-02 4.078529200E-02 5.436151100E-02 6.305293800E-02 6.832861700E-02
325 1.025562100E-02 -1.427337870E-01 -1.369723900E-01 -2.532016600E-02 1.780198600E-02 3.968637900E-02 5.580188300E-02 6.622009400E-02 7.377738900E-02
330 1.800911300E-02 -7.723380400E-02 -1.792147500E-01 -6.799813000E-02 4.293670000E-03 3.662202500E-02 5.754240400E-02 7.098723400E-02 7.716637600E-02
335 2.794900300E-02 9.187486000E-03 -1.484916410E-01 -1.371463730E-01 -1.919139400E-02 3.095213000E-02 5.724654100E-02 7.237016600E-02 7.997206700E-02
340 3.990010000E-02 1.493482900E-02 -8.540138600E-02 -1.848854070E-01 -5.940925700E-02 1.869104700E-02 5.494965200E-02 7.362191300E-02 8.238078300E-02
