True_Labels;Predicted_Values
12.33243846;12.316299
12.83314711;12.74624
12.0;12.0212345
13.49968708;13.455567
12.49968708;12.522917
10.83314711;11.851717
13.49968708;13.502591
11.49968708;11.560787
12.16731733;12.241539
11.0;10.99557
12.49968708;12.115494
10.33243846;10.438536
12.66651798;12.537152
13.83314711;13.827106
12.16731733;12.085606
12.16731733;12.168737
12.16731733;12.186091
12.83314711;12.845049
12.16731733;12.168513
10.33243846;10.316527
10.83314711;10.966689
13.83314711;13.801113
11.49968708;11.531083
12.49968708;12.458269
12.83314711;12.793845
12.33243846;12.341872
13.66651798;13.6674
13.83314711;13.840694
10.33243846;10.434028
13.16731733;13.144788
11.66651798;11.654512
12.83314711;12.916249
12.66651798;12.646785
12.66651798;12.677025
12.66651798;12.723273
14.0;13.908116
13.0;13.032024
10.0;10.043127
10.16731733;10.199045
11.0;10.879411
12.49968708;12.551316
11.16731733;11.181387
10.33243846;10.406695
13.49968708;13.453004
11.0;11.046751
14.0;13.948339
10.66651798;10.476035
10.0;10.095125
13.16731733;13.398119
10.16731733;10.228494
11.49968708;11.458307
13.33243846;13.329129
12.0;11.99303
13.49968708;13.516022
11.16731733;11.22822
13.49968708;13.507797
11.83314711;11.80395
10.66651798;10.535001
11.49968708;11.694721
11.66651798;11.676324
11.0;11.046508
12.49968708;12.484487
11.16731733;11.255635
13.83314711;13.788878
11.49968708;11.652442
13.33243846;13.305318
12.49968708;12.503896
12.83314711;12.836602
11.16731733;11.247681
11.33243846;11.323253
13.83314711;13.853185
10.33243846;10.308751
10.83314711;10.71172
10.0;10.099131
10.0;10.02844
12.33243846;12.094959
13.0;12.989093
10.83314711;10.847262
11.33243846;11.346592
12.83314711;12.830551
11.16731733;11.259506
11.83314711;11.809255
12.0;12.087689
11.49968708;11.545993
13.0;12.995989
10.16731733;10.1149235
13.66651798;13.676063
12.83314711;12.648743
12.66651798;12.660709
13.33243846;13.30399
10.16731733;10.243576
12.33243846;12.427736
11.83314711;11.793809
11.33243846;11.259412
11.0;10.919121
13.66651798;13.558467
12.0;12.073436
10.49968708;10.505628
10.0;10.115383
13.0;12.986972
11.49968708;11.55784
13.16731733;13.136326
12.49968708;12.502601
12.33243846;12.328648
11.49968708;11.521248
11.49968708;11.498549
10.83314711;10.965637
13.66651798;13.745069
12.16731733;11.993712
11.83314711;12.022847
11.83314711;11.783644
10.0;10.108785
11.0;10.99171
10.16731733;10.657022
10.16731733;10.208749
11.66651798;11.601953
11.49968708;11.504729
11.33243846;11.3592205
10.66651798;10.734805
12.83314711;12.845809
11.16731733;11.317387
10.33243846;10.541308
11.83314711;11.904472
13.66651798;13.552463
11.33243846;11.344534
11.33243846;11.239434
13.16731733;13.1358795
13.83314711;13.795982
13.16731733;13.173441
10.0;10.116543
10.66651798;10.726177
13.83314711;13.872314
10.33243846;10.267636
10.33243846;10.357726
10.33243846;10.378499
11.0;11.003764
13.66651798;13.684831
13.66651798;13.673442
11.83314711;11.73952
11.0;11.026714
11.0;11.133921
13.49968708;13.47182
13.49968708;13.5047245
13.66651798;13.707514
13.49968708;13.455504
13.33243846;13.321949
11.33243846;11.3627205
12.16731733;12.1812105
12.16731733;11.951705
11.66651798;11.602715
14.0;13.910297
12.66651798;12.686397
11.0;10.99108
13.33243846;13.283705
10.33243846;10.285906
12.49968708;12.5204115
12.0;11.630071
11.33243846;11.308438
10.83314711;10.863657
11.33243846;11.360119
11.66651798;11.864643
13.66651798;13.668991
11.66651798;11.687487
12.66651798;12.642369
13.83314711;13.834493
13.16731733;13.217252
11.16731733;11.084645
13.33243846;13.309299
13.33243846;13.334486
12.33243846;12.324449
11.49968708;11.454128
13.49968708;13.534254
12.49968708;12.526282
10.83314711;10.969201
13.49968708;13.496342
10.0;10.095976
10.83314711;10.794136
13.49968708;13.472856
13.0;12.975538
12.33243846;12.294726
10.33243846;10.197842
11.66651798;11.675512
10.33243846;10.77842
11.83314711;11.916617
13.33243846;11.615151
11.49968708;11.849437
10.16731733;10.208348
11.16731733;11.200727
11.49968708;11.480985
10.49968708;10.483169
13.66651798;13.657811
12.33243846;12.275941
12.0;11.962875
14.0;13.955157
13.83314711;13.777783
11.16731733;11.247594
10.16731733;10.12409
12.0;10.751555
12.66651798;12.710672
13.16731733;13.190389
13.0;13.183144
11.66651798;11.635639
11.0;11.015165
12.66651798;12.662496
11.16731733;11.111128
13.83314711;13.812732
11.83314711;11.774115
13.0;13.013302
10.0;10.080451
10.66651798;10.757701
11.16731733;11.3123865
12.49968708;12.506258
10.16731733;10.16692
10.49968708;10.533475
13.49968708;13.4982195
14.0;13.929648
12.66651798;12.491184
10.83314711;10.871935
10.83314711;10.910138
10.16731733;10.20969
11.16731733;11.990377
10.83314711;10.842599
14.0;13.9999895
13.49968708;13.501939
11.16731733;11.2699
13.83314711;13.745624
13.66651798;13.671311
13.66651798;13.7561
12.16731733;12.206561
12.33243846;12.079051
12.16731733;12.232774
10.66651798;10.699711
10.49968708;10.558663
11.33243846;11.335412
13.0;13.050106
11.16731733;11.168761
12.0;12.102364
10.33243846;10.376481
12.16731733;12.232239
10.16731733;10.159011
10.66651798;10.681382
11.16731733;11.13135
11.0;11.158205
12.33243846;12.332172
11.16731733;11.18575
12.0;11.860173
12.49968708;12.456933
10.0;10.056488
13.83314711;12.495334
13.33243846;13.258972
10.66651798;10.662449
11.83314711;11.841717
11.33243846;11.410241
10.33243846;10.355899
11.49968708;11.543746
13.33243846;13.248594
10.16731733;10.067448
13.49968708;13.460761
12.66651798;12.670437
11.16731733;11.194606
13.49968708;13.600253
14.0;13.8552885
13.33243846;13.326301
11.66651798;11.64747
12.49968708;12.449875
10.0;10.0544815
13.66651798;13.669195
13.66651798;13.59321
12.0;12.092658
11.33243846;11.422344
12.33243846;12.378017
12.83314711;12.818944
11.16731733;11.370778
13.0;12.988428
11.66651798;11.730211
13.49968708;11.919934
10.49968708;10.476412
13.33243846;13.349575
12.83314711;12.799422
12.66651798;12.692662
11.83314711;11.579609
13.0;12.834826
12.66651798;12.630675
12.49968708;12.562897
13.0;13.036129
13.0;13.041875
11.33243846;11.213498
12.83314711;12.836379
11.66651798;11.632664
10.49968708;10.5093155
11.66651798;11.642745
11.49968708;11.359493
10.49968708;10.774801
13.0;12.978326
14.0;13.95486
11.66651798;11.733651
13.16731733;13.161239
13.16731733;13.137804
10.0;10.073227
10.49968708;10.44811
10.66651798;10.716974
11.83314711;11.912211
12.33243846;12.33296
10.49968708;10.43383
11.66651798;11.654678
13.16731733;13.1458235
11.33243846;11.340895
10.33243846;10.186098
11.49968708;11.436968
11.49968708;11.57172
13.16731733;13.172776
11.33243846;11.188593
10.49968708;10.502311
11.16731733;11.138186
13.49968708;13.508881
10.49968708;10.4811945
10.16731733;10.130117
