Ew Nt
4.4714388E-1 3.5606133E+15
4.4442333E-1 3.3403778E+15
4.4170277E-1 3.1555409E+15
4.3898220E-1 2.9767572E+15
4.3626164E-1 2.7932883E+15
4.3354108E-1 2.6028615E+15
4.3082052E-1 2.4053565E+15
4.2809996E-1 2.2052131E+15
4.2537940E-1 2.0140247E+15
4.2265884E-1 1.8468970E+15
4.1993828E-1 1.7153613E+15
4.1721772E-1 1.6232315E+15
4.1449716E-1 1.5677992E+15
4.1177660E-1 1.5437347E+15
4.0905604E-1 1.5454058E+15
4.0633548E-1 1.5666603E+15
4.0361492E-1 1.6006773E+15
4.0089436E-1 1.6420031E+15
3.9817380E-1 1.6892951E+15
3.9545324E-1 1.7456211E+15
3.9273268E-1 1.8156333E+15
3.9001212E-1 1.9020495E+15
3.8729156E-1 2.0039852E+15
3.8457100E-1 2.1173992E+15
3.8185044E-1 2.2364506E+15
3.7912988E-1 2.3549038E+15
3.7640932E-1 2.4673448E+15
3.7368876E-1 2.5699987E+15
3.7096820E-1 2.6609759E+15
3.6824764E-1 2.7399885E+15
3.6552708E-1 2.8076856E+15
3.6280652E-1 2.8646804E+15
3.6008596E-1 2.9105303E+15
3.5736540E-1 2.9433590E+15
3.5464484E-1 2.9607034E+15
3.5192428E-1 2.9612471E+15
3.4920372E-1 2.9462323E+15
3.4648316E-1 2.9195015E+15
3.4376260E-1 2.8862398E+15
3.4104204E-1 2.8514533E+15
3.3832148E-1 2.8191257E+15
3.3560092E-1 2.7921634E+15
3.3288036E-1 2.7726016E+15
3.3015980E-1 2.7615945E+15
3.2743924E-1 2.7591867E+15
3.2471868E-1 2.7641629E+15
3.2199812E-1 2.7742426E+15
3.1927756E-1 2.7865740E+15
3.1655700E-1 2.7982181E+15
3.1383644E-1 2.8063938E+15
3.1111588E-1 2.8084704E+15
3.0839532E-1 2.8019786E+15
3.0567476E-1 2.7848094E+15
3.0295420E-1 2.7555402E+15
3.0023364E-1 2.7136089E+15
2.9751308E-1 2.6590801E+15
2.9479252E-1 2.5918375E+15
2.9207196E-1 2.5099729E+15
2.8935140E-1 2.4071279E+15
2.8663084E-1 2.2691651E+15
2.8391028E-1 2.0721786E+15
2.8118972E-1 1.7856065E+15
2.7846916E-1 1.3834272E+15
2.7574860E-1 8.6106714E+14
2.7302804E-1 5.6445946E+14
