Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.161431919E+00 1.151797594E+0 9.634325000E-03 1.161431919E+00 1.151797594E+0 9.634325000E-03
1.468000E+10 1.161448400E+00 1.146355212E+0 1.509318800E-02 1.161448400E+00 1.146355212E+0 1.509318800E-02
2.154000E+10 1.161472496E+00 1.141109562E+0 2.036293400E-02 1.161472496E+00 1.141109562E+0 2.036293400E-02
3.162000E+10 1.161507548E+00 1.136041624E+0 2.546592400E-02 1.161507548E+00 1.136041624E+0 2.546592400E-02
4.642000E+10 1.161558379E+00 1.131150783E+0 3.040759600E-02 1.161558379E+00 1.131150783E+0 3.040759600E-02
6.813000E+10 1.161631647E+00 1.126434983E+0 3.519666400E-02 1.161631647E+00 1.126434983E+0 3.519666400E-02
1.000000E+11 1.161736505E+00 1.121884414E+0 3.985209100E-02 1.161736505E+00 1.121884414E+0 3.985209100E-02
1.468000E+11 1.161884805E+00 1.117492634E+0 4.439217100E-02 1.161884805E+00 1.117492634E+0 4.439217100E-02
2.154000E+11 1.162091340E+00 1.113261156E+0 4.883018400E-02 1.162091340E+00 1.113261156E+0 4.883018400E-02
3.162000E+11 1.162373173E+00 1.109174473E+0 5.319870000E-02 1.162373173E+00 1.109174473E+0 5.319870000E-02
4.642000E+11 1.162745846E+00 1.105231940E+0 5.751390600E-02 1.162745846E+00 1.105231940E+0 5.751390600E-02
6.813000E+11 1.163221489E+00 1.101431756E+0 6.178973300E-02 1.163221489E+00 1.101431756E+0 6.178973300E-02
1.000000E+12 1.163800894E+00 1.097765884E+0 6.603501000E-02 1.163800894E+00 1.097765884E+0 6.603501000E-02
1.468000E+12 1.165842620E+00 1.094229011E+0 7.161360900E-02 1.165842620E+00 1.094229011E+0 7.161360900E-02
2.154000E+12 1.172444270E+00 1.090822239E+0 8.162203100E-02 1.172444270E+00 1.090822239E+0 8.162203100E-02
3.162000E+12 1.175229839E+00 1.087532976E+0 8.769686300E-02 1.175229839E+00 1.087532976E+0 8.769686300E-02
4.642000E+12 1.175062247E+00 1.084360606E+0 9.070164100E-02 1.175062247E+00 1.084360606E+0 9.070164100E-02
6.813000E+12 1.175310438E+00 1.081303586E+0 9.400685200E-02 1.175310438E+00 1.081303586E+0 9.400685200E-02
1.000000E+13 1.175530628E+00 1.078355364E+0 9.717526400E-02 1.175530628E+00 1.078355364E+0 9.717526400E-02
