T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.263089624E+00 1.218005701E+00 4.508392300E-02 1.261280484E+00 1.217374973E+00 4.390551100E-02 1.809140000E-03 6.307280000E-04
295 1.263934395E+00 1.220570862E+00 4.336353300E-02 1.262341230E+00 1.219951354E+00 4.238987600E-02 1.593165000E-03 6.195080000E-04
300 1.265461206E+00 1.223369343E+00 4.209186300E-02 1.264041452E+00 1.222739993E+00 4.130145900E-02 1.419754000E-03 6.293500000E-04
305 1.267608801E+00 1.225930162E+00 4.167863900E-02 1.266310652E+00 1.225280950E+00 4.102970200E-02 1.298149000E-03 6.492120000E-04
310 1.270097492E+00 1.228757820E+00 4.133967200E-02 1.268866471E+00 1.228045101E+00 4.082137000E-02 1.231021000E-03 7.127190000E-04
315 1.272597105E+00 1.231475789E+00 4.112131600E-02 1.271376003E+00 1.230653187E+00 4.072281600E-02 1.221102000E-03 8.226020000E-04
320 1.274682655E+00 1.233329526E+00 4.135312900E-02 1.273418520E+00 1.232393190E+00 4.102533000E-02 1.264135000E-03 9.363360000E-04
325 1.275447977E+00 1.235081808E+00 4.036616900E-02 1.274094232E+00 1.234002790E+00 4.009144200E-02 1.353745000E-03 1.079018000E-03
330 1.274092005E+00 1.236170206E+00 3.792179900E-02 1.272614009E+00 1.234898734E+00 3.771527500E-02 1.477996000E-03 1.271472000E-03
335 1.269164473E+00 1.235680052E+00 3.348442100E-02 1.267554800E+00 1.234200923E+00 3.335387700E-02 1.609673000E-03 1.479129000E-03
340 1.258250126E+00 1.234870451E+00 2.337967500E-02 1.256547792E+00 1.233145266E+00 2.340252600E-02 1.702334000E-03 1.725185000E-03
