N_Fe N_B T d Jsc_FeB Eta_FeB Voc_FeB FF_FeB
1.000000E+10 3.162E+15 315 2.300E-4 2.952049E-1 2.540720E+1 4.424730E-1 7.780510E+1
1.468000E+10 3.162E+15 315 2.300E-4 2.948108E-1 2.532830E+1 4.418160E-1 7.778250E+1
2.154000E+10 3.162E+15 315 2.300E-4 2.942364E-1 2.521510E+1 4.408860E-1 7.774960E+1
3.162000E+10 3.162E+15 315 2.300E-4 2.934021E-1 2.505410E+1 4.395610E-1 7.770640E+1
4.642000E+10 3.162E+15 315 2.300E-4 2.921957E-1 2.481330E+1 4.376870E-1 7.760840E+1
6.813000E+10 3.162E+15 315 2.300E-4 2.904635E-1 2.450070E+1 4.352080E-1 7.752650E+1
1.000000E+11 3.162E+15 315 2.300E-4 2.880002E-1 2.408130E+1 4.320260E-1 7.741720E+1
1.468000E+11 3.162E+15 315 2.300E-4 2.845450E-1 2.352880E+1 4.279620E-1 7.728680E+1
2.154000E+11 3.162E+15 315 2.300E-4 2.797897E-1 2.280550E+1 4.230440E-1 7.706980E+1
3.162000E+11 3.162E+15 315 2.300E-4 2.734108E-1 2.192930E+1 4.173220E-1 7.687730E+1
4.642000E+11 3.162E+15 315 2.300E-4 2.651352E-1 2.086420E+1 4.109790E-1 7.659060E+1
6.813000E+11 3.162E+15 315 2.300E-4 2.548361E-1 1.964050E+1 4.040670E-1 7.629540E+1
1.000000E+12 3.162E+15 315 2.300E-4 2.426252E-1 1.830370E+1 3.969200E-1 7.602570E+1
1.468000E+12 3.162E+15 315 2.300E-4 2.288803E-1 1.687400E+1 3.897200E-1 7.566900E+1
2.154000E+12 3.162E+15 315 2.300E-4 2.141576E-1 1.542110E+1 3.824210E-1 7.531810E+1
3.162000E+12 3.162E+15 315 2.300E-4 1.990144E-1 1.400080E+1 3.751620E-1 7.500880E+1
4.642000E+12 3.162E+15 315 2.300E-4 1.838461E-1 1.261660E+1 3.679310E-1 7.460750E+1
6.813000E+12 3.162E+15 315 2.300E-4 1.688408E-1 1.129050E+1 3.606100E-1 7.417510E+1
1.000000E+13 3.162E+15 315 2.300E-4 1.540568E-1 1.003170E+1 3.530020E-1 7.378640E+1
1.468000E+13 3.162E+15 315 2.300E-4 1.395411E-1 8.823200E+0 3.451400E-1 7.328050E+1
2.154000E+13 3.162E+15 315 2.300E-4 1.253999E-1 7.680800E+0 3.369740E-1 7.270650E+1
3.162000E+13 3.162E+15 315 2.300E-4 1.117961E-1 6.615100E+0 3.284650E-1 7.205770E+1
4.642000E+13 3.162E+15 315 2.300E-4 9.890814E-2 5.635900E+0 3.195770E-1 7.132150E+1
6.813000E+13 3.162E+15 315 2.300E-4 8.689070E-2 4.754000E+0 3.102530E-1 7.053950E+1
1.000000E+14 3.162E+15 315 2.300E-4 7.585463E-2 3.963700E+0 3.004550E-1 6.956570E+1
