N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.019733340E+00 1.018567305E+00 1.017718209E+00 1.017068845E+00
1.600000000E+01 1.233589256E+00 1.227180274E+00 1.221116707E+00 1.215978205E+00
1.700000000E+01 1.235105590E+00 1.226262140E+00 1.218607551E+00 1.212091855E+00
1.549996187E+01 1.173297225E+00 1.161106142E+00 1.150040398E+00 1.139497381E+00
1.649996187E+01 1.235578699E+00 1.227857702E+00 1.220720765E+00 1.214319191E+00
1.674996808E+01 1.234231550E+00 1.225764035E+00 1.218062745E+00 1.211299347E+00
1.624993176E+01 1.236771338E+00 1.229803939E+00 1.223390777E+00 1.217529874E+00
1.574996808E+01 1.220122665E+00 1.213004079E+00 1.207046926E+00 1.201310282E+00
1.524993176E+01 1.011874077E+00 1.010561319E+00 1.009608002E+00 1.008884255E+00
