N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 7.048580000E-04 4.802410000E-04 3.275520000E-04 2.237350000E-04 1.531280000E-04 1.050950000E-04 7.244400000E-05 5.025600000E-05 3.521900000E-05 2.506600000E-05 1.823800000E-05 1.367200000E-05 1.061000000E-05 8.522000000E-06 7.039000000E-06 5.927000000E-06 5.051000000E-06 4.343000000E-06 3.755000000E-06
1.600000000E+01 1.184976700E-02 8.928263000E-03 6.607975000E-03 4.809420000E-03 3.451579000E-03 2.451244000E-03 1.729265000E-03 1.216531000E-03 8.567960000E-04 6.066250000E-04 4.337270000E-04 3.147040000E-04 2.329000000E-04 1.765920000E-04 1.375290000E-04 1.099820000E-04 8.998200000E-05 7.486600000E-05 6.291800000E-05
1.700000000E+01 5.459434000E-02 4.658309900E-02 3.986111600E-02 3.394103900E-02 2.853213500E-02 2.353078500E-02 1.897114100E-02 1.494883000E-02 1.154627900E-02 8.787982000E-03 6.634126000E-03 5.000225000E-03 3.783810000E-03 2.885570000E-03 2.221134000E-03 1.724967000E-03 1.349283000E-03 1.060628000E-03 8.359390000E-04
1.549996187E+01 4.250838000E-03 3.009137000E-03 2.110751000E-03 1.470421000E-03 1.019561000E-03 7.050840000E-04 4.872690000E-04 3.371830000E-04 2.341560000E-04 1.636350000E-04 1.154770000E-04 8.266000000E-05 6.031500000E-05 4.510800000E-05 3.471700000E-05 2.754900000E-05 2.250000000E-05 1.881500000E-05 1.599800000E-05
1.649996187E+01 2.746487300E-02 2.234429600E-02 1.792883700E-02 1.411178200E-02 1.086859700E-02 8.195906000E-03 6.070667000E-03 4.438263000E-03 3.221363000E-03 2.335533000E-03 1.701886000E-03 1.253759000E-03 9.384610000E-04 7.161790000E-04 5.577990000E-04 4.426510000E-04 3.565350000E-04 2.900570000E-04 2.372270000E-04
1.674996808E+01 3.934234500E-02 3.294374800E-02 2.742765200E-02 2.252981600E-02 1.814977500E-02 1.429516600E-02 1.101064900E-02 8.320082000E-03 6.200727000E-03 4.587546000E-03 3.392381000E-03 2.523450000E-03 1.898110000E-03 1.448538000E-03 1.122606000E-03 8.822690000E-04 7.010120000E-04 5.610510000E-04 4.507450000E-04
1.624993176E+01 1.844868800E-02 1.446203000E-02 1.113159600E-02 8.397453000E-03 6.214366000E-03 4.524921000E-03 3.255621000E-03 2.325695000E-03 1.657875000E-03 1.185406000E-03 8.546710000E-04 6.246910000E-04 4.651940000E-04 3.543110000E-04 2.764640000E-04 2.207240000E-04 1.795430000E-04 1.480160000E-04 1.229250000E-04
1.574996808E+01 7.271645000E-03 5.288787000E-03 3.793086000E-03 2.688884000E-03 1.889498000E-03 1.320076000E-03 9.195470000E-04 6.404680000E-04 4.473580000E-04 3.143980000E-04 2.231850000E-04 1.607700000E-04 1.181220000E-04 8.895700000E-05 6.891500000E-05 5.497100000E-05 4.501000000E-05 3.762300000E-05 3.186700000E-05
1.524993176E+01 2.249520000E-03 1.562461000E-03 1.080106000E-03 7.442460000E-04 5.118650000E-04 3.518310000E-04 2.420120000E-04 1.668450000E-04 1.155030000E-04 8.051100000E-05 5.670700000E-05 4.055700000E-05 2.960300000E-05 2.216900000E-05 1.708600000E-05 1.357500000E-05 1.109400000E-05 9.290000000E-06 7.913000000E-06
