N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 5.547555600E-02 5.673007900E-02 5.818365500E-02 5.967843800E-02
1.016672606E+01 4.145984500E-02 4.215027000E-02 4.306543800E-02 4.406815200E-02
1.033324570E+01 3.077320600E-02 3.102426300E-02 3.151079100E-02 3.211068100E-02
1.049996187E+01 2.272092500E-02 2.267131000E-02 2.285324500E-02 2.315725400E-02
1.066670514E+01 1.668076400E-02 1.645603100E-02 1.644606600E-02 1.655416600E-02
1.083333839E+01 1.216057100E-02 1.185933600E-02 1.174645500E-02 1.173890300E-02
1.100000000E+01 8.793687000E-03 8.483280000E-03 8.329505000E-03 8.263921000E-03
1.116672606E+01 6.308233000E-03 6.027457000E-03 5.870861000E-03 5.784499000E-03
1.133324570E+01 4.496454000E-03 4.262451000E-03 4.123107000E-03 4.037747000E-03
1.149996187E+01 3.194561000E-03 3.010725000E-03 2.896969000E-03 2.823810000E-03
1.166670514E+01 2.272310000E-03 2.134793000E-03 2.048136000E-03 1.991558000E-03
1.183333839E+01 1.627420000E-03 1.529333000E-03 1.467557000E-03 1.427673000E-03
1.200000000E+01 1.181314000E-03 1.114907000E-03 1.073836000E-03 1.048173000E-03
1.216672606E+01 8.748870000E-04 8.325260000E-04 8.071740000E-04 7.921570000E-04
1.233324570E+01 6.645380000E-04 6.392510000E-04 6.247650000E-04 6.167910000E-04
1.249996187E+01 5.187440000E-04 5.046810000E-04 4.970070000E-04 4.932150000E-04
1.266670514E+01 4.153760000E-04 4.081090000E-04 4.043380000E-04 4.027880000E-04
1.283333839E+01 3.395130000E-04 3.360380000E-04 3.343270000E-04 3.338680000E-04
1.300000000E+01 2.815200000E-04 2.800110000E-04 2.793130000E-04 2.793130000E-04
