fname time Tem kT_1 n Rs Io Rsh Iph Voc Isc FF Pm Vm Im rmsre 
0L20 33338 319.99 36.233 1.077457163E+00 9.205711598E-01 3.850603086E-09 7.716725816E+04 1.149655563E-04 3.062082619E-01 1.149655563E-04 6.696741431E-01 2.357480885E-05 2.392445776E-01 9.853623789E-05 4.311439690E-02 
0L20 33338 319.99 36.233 1.077457163E+00 9.205711598E-01 3.850603086E-09 7.716725816E+04 1.149655563E-04 3.062082619E-01 1.149655563E-04 6.696741431E-01 2.357480885E-05 2.392445776E-01 9.853623789E-05 4.311439690E-02 
0L21 33466 319.84 36.25 1.078967602E+00 9.395979381E-01 3.842795711E-09 8.955196990E+04 1.153683769E-04 3.069984642E-01 1.153683769E-04 6.731626970E-01 2.384201886E-05 2.402776672E-01 9.922609225E-05 4.480402886E-02 
0L21 33466 319.84 36.25 1.078967602E+00 9.395979381E-01 3.842795711E-09 8.955196990E+04 1.153683769E-04 3.069984642E-01 1.153683769E-04 6.731626970E-01 2.384201886E-05 2.402776672E-01 9.922609225E-05 4.480402886E-02 
0L22 33552 319.93 36.24 1.077118629E+00 9.263310346E-01 3.732472477E-09 7.620952816E+04 1.161764939E-04 3.071124886E-01 1.161764939E-04 6.707193764E-01 2.393076575E-05 2.408177204E-01 9.937333969E-05 3.409522589E-02 
0L22 33552 319.93 36.24 1.077118629E+00 9.263310346E-01 3.732472477E-09 7.620952816E+04 1.161764939E-04 3.071124886E-01 1.161764939E-04 6.707193764E-01 2.393076575E-05 2.408177204E-01 9.937333969E-05 3.409522589E-02 
0L23 33636 319.97 36.235 1.065414352E+00 9.714858991E-01 3.252543596E-09 6.442165008E+04 1.169968544E-04 3.073854614E-01 1.169553379E-04 6.713431557E-01 2.413503518E-05 2.406560545E-01 1.002853549E-04 2.423593525E-02 
0L23 33636 319.97 36.235 1.065414352E+00 9.714858991E-01 3.252543596E-09 6.442165008E+04 1.169968544E-04 3.073854614E-01 1.169553379E-04 6.713431557E-01 2.413503518E-05 2.406560545E-01 1.002853549E-04 2.423593525E-02 
0L24 33732 320.04 36.227 1.085840160E+00 9.104138807E-01 4.168062082E-09 7.833913059E+04 1.174448115E-04 3.076161743E-01 1.174448115E-04 6.703116860E-01 2.421696939E-05 2.403322937E-01 1.007621836E-04 6.141340595E-02 
0L24 33732 320.04 36.227 1.085840160E+00 9.104138807E-01 4.168062082E-09 7.833913059E+04 1.174448115E-04 3.076161743E-01 1.174448115E-04 6.703116860E-01 2.421696939E-05 2.403322937E-01 1.007621836E-04 6.141340595E-02 
0L25 33824 320.04 36.227 1.084419717E+00 9.062140449E-01 4.067578745E-09 1.059680360E+05 1.179859490E-04 3.076837517E-01 1.179859490E-04 6.713764282E-01 2.437254841E-05 2.402172056E-01 1.014550362E-04 4.894957940E-02 
0L25 33824 320.04 36.227 1.084419717E+00 9.062140449E-01 4.067578745E-09 1.059680360E+05 1.179859490E-04 3.076837517E-01 1.179859490E-04 6.713764282E-01 2.437254841E-05 2.402172056E-01 1.014550362E-04 4.894957940E-02 
0L26 33912 320.06 36.225 1.081554248E+00 9.127202090E-01 3.934474142E-09 7.575114703E+04 1.186912237E-04 3.080082077E-01 1.186912237E-04 6.708947166E-01 2.452648256E-05 2.415292292E-01 1.015408449E-04 5.464202332E-02 
0L26 33912 320.06 36.225 1.081554248E+00 9.127202090E-01 3.934474142E-09 7.575114703E+04 1.186912237E-04 3.080082077E-01 1.186912237E-04 6.708947166E-01 2.452648256E-05 2.415292292E-01 1.015408449E-04 5.464202332E-02 
0L27 33996 320.04 36.227 1.083308194E+00 9.079360613E-01 4.014563220E-09 7.597696504E+04 1.191888854E-04 3.082657028E-01 1.191888854E-04 6.719466972E-01 2.468856175E-05 2.411541830E-01 1.023785000E-04 5.809201615E-02 
0L27 33996 320.04 36.227 1.083308194E+00 9.079360613E-01 4.014563220E-09 7.597696504E+04 1.191888854E-04 3.082657028E-01 1.191888854E-04 6.719466972E-01 2.468856175E-05 2.411541830E-01 1.023785000E-04 5.809201615E-02 
