fname time Tem kT_1 Nfe tau_r Wph Em t_ass rmsre 
L0104ORW40S25 1445234008 0 555 8.228886529E+18 2.030158894E-05 5.150000000E-04 6.474279779E-01 5.521151167E+02 1.830857964E-03 
L0104ORW40S30 1445234057 0 555 8.293034567E+18 3.362610128E-05 5.150000000E-04 6.485237339E-01 5.731356947E+02 1.930033526E-03 
L0104ORW40S40 1445234287 0 555 8.736282933E+18 7.901581012E-05 5.150000000E-04 6.488813502E-01 5.801678340E+02 1.994390370E-03 
L0104ORW40S50 1445234153 0 555 8.633125162E+18 9.999999927E+01 5.150000000E-04 6.507281013E-01 6.178790613E+02 2.046153515E-03 
L0105ORW40S20 1445305404 0 555 7.686902406E+18 1.739989065E-05 5.150000000E-04 6.466639229E-01 5.379156903E+02 1.768659821E-03 
L0105ORW40S20B 1445305578 0 555 7.933913549E+18 1.837937161E-05 5.150000000E-04 6.476822852E-01 5.569238960E+02 1.752129527E-03 
L0105ORW40S50 1445305461 0 555 8.673333158E+18 1.890083945E-04 5.150000000E-04 6.490824790E-01 5.841606572E+02 2.042930795E-03 
L0105ORW40S60 1445305527 0 555 8.988102039E+18 9.999999972E+01 5.150000000E-04 6.494960943E-01 5.924583471E+02 1.861629195E-03 
L1228ORW40S05 1436321970 0 555 3.896593386E+18 3.772516031E-06 5.150000000E-04 6.432356945E-01 4.785674699E+02 1.190409603E-03 
L1228ORW40S10 1436322023 0 555 5.996518149E+18 6.755143662E-06 5.150000000E-04 6.453215799E-01 5.138478134E+02 1.240841580E-03 
L1228ORW40S20 1436322070 0 555 8.221495634E+18 3.445558153E-05 5.150000000E-04 6.486957524E-01 5.765075493E+02 2.002185643E-03 
L1229ORW40S15 1436389477 0 555 7.179841470E+18 1.130616410E-05 5.150000000E-04 6.459926571E-01 5.257423553E+02 1.526771231E-03 
