T d154 d184 d214 d244
d 150 180 210 240
290 1.205265485E+00 1.201948221E+00 1.198866118E+00 1.196659007E+00
295 1.206666995E+00 1.203607907E+00 1.200783122E+00 1.198724599E+00
300 1.208091647E+00 1.205267605E+00 1.202819691E+00 1.200399677E+00
305 1.210212877E+00 1.207335778E+00 1.204959518E+00 1.202617315E+00
310 1.212282469E+00 1.209272101E+00 1.206741020E+00 1.204199294E+00
315 1.213595421E+00 1.210244523E+00 1.207385572E+00 1.204518313E+00
320 1.213839515E+00 1.209847005E+00 1.206421182E+00 1.202930473E+00
325 1.210777974E+00 1.205591047E+00 1.201050515E+00 1.196493380E+00
330 1.200073302E+00 1.192532226E+00 1.185849378E+00 1.179374985E+00
335 1.173847552E+00 1.162005743E+00 1.151391487E+00 1.141403582E+00
340 1.118227755E+00 1.099052444E+00 1.082177837E+00 1.066809727E+00
