V d42 d61c d64b V1 d61a V2 d64a
-1.200000e+00 3.747084e-05 7.132916e-05 4.117963e-05 -1.200000e+00 5.229171e-06 -1.200000e+00 3.034638e-05
-1.000000e+00 3.631940e-05 6.711884e-05 4.834707e-05 -1.000000e+00 5.407884e-06 -1.000000e+00 3.156839e-05
-8.000000e-01 3.628085e-05 6.796067e-05 5.719185e-05 -8.000000e-01 5.895694e-06 -8.000000e-01 3.644921e-05
-6.000000e-01 3.525212e-05 7.111508e-05 6.521629e-05 -6.000000e-01 6.068343e-06 -6.000000e-01 5.675548e-05
-4.000000e-01 3.432737e-05 7.932379e-05 7.499321e-05 -4.000000e-01 6.551937e-06 -6.000000e-01 5.675548e-05
-2.000000e-01 4.114417e-05 9.397673e-05 1.032050e-04 -4.000000e-01 6.551937e-06 -4.000000e-01 6.105398e-05
0.000000e+00 1.293331e-04 1.822766e-04 1.889545e-04 -2.000000e-01 7.218831e-06 -2.000000e-01 9.769915e-05
2.000000e-01 1.043230e-04 9.991670e-05 1.245623e-04 0.000000e+00 9.068748e-06 0.000000e+00 2.202266e-04
4.000000e-01 4.688149e-05 1.972379e-05 1.067997e-05 2.000000e-01 1.198812e-05 2.000000e-01 5.405618e-05
NaN NaN NaN NaN 4.000000e-01 8.124307e-06 4.000000e-01 4.119124e-06
