V d42 d61c d64b V1 d61a V2 d64a
-1.200000e+00 6.428904e-06 2.029100e-06 1.871393e-06 -1.200000e+00 1.376588e-06 -1.200000e+00 1.466127e-06
-1.000000e+00 6.640530e-06 1.848408e-06 1.768731e-06 -1.000000e+00 1.381811e-06 -1.000000e+00 1.161736e-06
-8.000000e-01 6.697105e-06 1.783014e-06 1.624367e-06 -8.000000e-01 1.235838e-06 -8.000000e-01 1.051901e-06
-6.000000e-01 7.199405e-06 1.694844e-06 1.550811e-06 -6.000000e-01 1.252837e-06 -6.000000e-01 6.332585e-07
-4.000000e-01 8.387749e-06 1.498788e-06 1.452112e-06 -4.000000e-01 1.125390e-06 -6.000000e-01 6.332585e-07
-2.000000e-01 8.169179e-06 1.357229e-06 1.121823e-06 -4.000000e-01 1.125390e-06 -4.000000e-01 6.261579e-07
0.000000e+00 8.145756e-06 1.081414e-06 1.211336e-06 -2.000000e-01 9.524444e-07 -2.000000e-01 5.362948e-07
2.000000e-01 7.520369e-06 7.253684e-07 8.724259e-07 0.000000e+00 6.859254e-07 0.000000e+00 5.006180e-07
4.000000e-01 5.597513e-06 6.988415e-07 9.964582e-07 2.000000e-01 5.337966e-07 2.000000e-01 4.923280e-07
NaN NaN NaN NaN 4.000000e-01 7.543434e-07 4.000000e-01 3.732741e-07
