f G/w
1.0000000E+6 1.4460918E-5
8.9779585E+5 1.3061189E-5
8.0603739E+5 1.2838677E-5
7.2365703E+5 1.2784914E-5
6.4969628E+5 1.2852808E-5
5.8329463E+5 1.2996271E-5
5.2367949E+5 1.3280524E-5
4.7015728E+5 1.3642714E-5
4.2210526E+5 1.4065030E-5
3.7896435E+5 1.4574964E-5
3.4023262E+5 1.5151662E-5
3.0545943E+5 1.5809099E-5
2.7424021E+5 1.6592027E-5
2.4621173E+5 1.7367053E-5
2.2104787E+5 1.8355364E-5
1.9845586E+5 1.9457048E-5
1.7817285E+5 2.0687095E-5
1.5996284E+5 2.2010501E-5
1.4361398E+5 2.3486827E-5
1.2893603E+5 2.5103888E-5
1.1575824E+5 2.6888457E-5
1.0392726E+5 2.8858806E-5
9.3305466E+4 3.1002166E-5
8.3769261E+4 3.3365452E-5
7.5207695E+4 3.5936562E-5
6.7521156E+4 3.8748133E-5
6.0620214E+4 4.1825967E-5
5.4424577E+4 4.5199205E-5
4.8862159E+4 4.8902151E-5
4.3868244E+4 5.2977587E-5
3.9384728E+4 5.7403210E-5
3.5359445E+4 6.2290263E-5
3.1745563E+4 6.7695788E-5
2.8501035E+4 7.3568960E-5
2.5588111E+4 8.0023614E-5
2.2972900E+4 8.7060105E-5
2.0624974E+4 9.4852231E-5
1.8517016E+4 1.0341480E-4
1.6624501E+4 1.1280839E-4
1.4925408E+4 1.2315136E-4
1.3399969E+4 1.3448496E-4
1.2030437E+4 1.4693114E-4
1.0800876E+4 1.6060325E-4
9.6969820E+3 1.7568593E-4
8.7059100E+3 1.9213342E-4
7.8161300E+3 2.1046391E-4
7.0172890E+3 2.3053089E-4
6.3000930E+3 2.5277896E-4
5.6561970E+3 2.7732259E-4
5.0781110E+3 3.0448412E-4
4.5591070E+3 3.3466037E-4
4.0931470E+3 3.6807690E-4
3.6748100E+3 4.0532755E-4
3.2992300E+3 4.4649758E-4
2.9620350E+3 4.9236138E-4
2.6593020E+3 5.4347551E-4
2.3875110E+3 6.0063127E-4
2.1434970E+3 6.6407821E-4
1.9244230E+3 7.3491851E-4
1.7277390E+3 8.1411942E-4
1.5511570E+3 9.0201088E-4
1.3926220E+3 1.0006494E-3
1.2502900E+3 1.1103666E-3
1.1225050E+3 1.2324915E-3
1.0077810E+3 1.3693295E-3
9.0478100E+2 1.5216097E-3
8.1230900E+2 1.6914003E-3
7.2928800E+2 1.8808975E-3
6.5475100E+2 2.0934016E-3
5.8783300E+2 2.3290414E-3
5.2775400E+2 2.5908358E-3
4.7381500E+2 2.8846407E-3
4.2539000E+2 3.2106462E-3
3.8191300E+2 3.5747379E-3
3.4288000E+2 3.9786245E-3
3.0783600E+2 4.4304696E-3
2.7637400E+2 4.9322994E-3
2.4812700E+2 5.4930146E-3
2.2276800E+2 6.1161263E-3
2.0000000E+2 6.8097243E-3
