N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 1.214240005E+00 1.211816225E+00 1.209958580E+00 1.207484891E+00 1.203069359E+00 1.193370871E+00 1.172076466E+00 1.128810780E+00 1.051904815E+00 1.023809997E+00 1.025928437E+00
1.600000000E+01 1.252285890E+00 1.250909348E+00 1.250363175E+00 1.250345647E+00 1.251250758E+00 1.252689199E+00 1.254327191E+00 1.256275461E+00 1.258144925E+00 1.259190108E+00 1.259169699E+00
1.700000000E+01 1.299770857E+00 1.298403888E+00 1.296874947E+00 1.296335045E+00 1.297120292E+00 1.298942475E+00 1.301132411E+00 1.304316629E+00 1.308010915E+00 1.311513922E+00 1.315510758E+00
1.549996187E+01 1.230203447E+00 1.228835185E+00 1.227713540E+00 1.228124851E+00 1.228292971E+00 1.228675428E+00 1.228792122E+00 1.227375502E+00 1.222408144E+00 1.210613104E+00 1.185656237E+00
1.649996187E+01 1.266326047E+00 1.265063648E+00 1.264223465E+00 1.264797952E+00 1.266174909E+00 1.267937101E+00 1.270750824E+00 1.273800006E+00 1.276922110E+00 1.280447850E+00 1.283869286E+00
1.674996808E+01 1.279687886E+00 1.278031127E+00 1.276920049E+00 1.277208885E+00 1.278412947E+00 1.280032915E+00 1.282784179E+00 1.285827245E+00 1.289116613E+00 1.293143860E+00 1.297087527E+00
1.624993176E+01 1.258997547E+00 1.257996932E+00 1.257683551E+00 1.257839798E+00 1.259077424E+00 1.260940354E+00 1.263036191E+00 1.265739299E+00 1.268459361E+00 1.270919274E+00 1.272915260E+00
1.574996808E+01 1.242082108E+00 1.240053337E+00 1.239385446E+00 1.239354886E+00 1.240133789E+00 1.240972084E+00 1.242312603E+00 1.243366741E+00 1.243412451E+00 1.241704671E+00 1.235693901E+00
1.524993176E+01 1.222002655E+00 1.220271967E+00 1.219322734E+00 1.218834903E+00 1.218225660E+00 1.216465957E+00 1.211957758E+00 1.200999914E+00 1.177420227E+00 1.131003105E+00 1.051043803E+00
