N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+13 1.360E+15 300 3.500E-4 1.230863178E+00 1.230893437E+00 1.223093100E+00 1.223094602E+00
1.292000E+13 1.360E+15 300 3.500E-4 1.239913297E+00 1.239914314E+00 1.223402074E+00 1.223403267E+00
1.668000E+13 1.360E+15 300 3.500E-4 1.240344485E+00 1.240345557E+00 1.223646825E+00 1.223647753E+00
2.154000E+13 1.360E+15 300 3.500E-4 1.240635883E+00 1.240636749E+00 1.223826798E+00 1.223827532E+00
2.783000E+13 1.360E+15 300 3.500E-4 1.240783693E+00 1.240784318E+00 1.235846915E+00 1.235847453E+00
3.594000E+13 1.360E+15 300 3.500E-4 1.240818247E+00 1.240818746E+00 1.235917613E+00 1.235918362E+00
4.642000E+13 1.360E+15 300 3.500E-4 1.243373226E+00 1.243391776E+00 1.235901144E+00 1.235901706E+00
5.995000E+13 1.360E+15 300 3.500E-4 1.251098079E+00 1.251098430E+00 1.235780999E+00 1.235781255E+00
7.743000E+13 1.360E+15 300 3.500E-4 1.250573287E+00 1.250573545E+00 1.236716687E+00 1.236740164E+00
1.000000E+14 1.360E+15 300 3.500E-4 1.249757007E+00 1.249757212E+00 1.247174746E+00 1.247174954E+00
1.000000E+13 1.360E+15 340 3.500E-4 1.020246043E+00 1.020250543E+00 1.032113956E+00 1.032139322E+00
1.292000E+13 1.360E+15 340 3.500E-4 1.022637960E+00 1.022642343E+00 1.037357090E+00 1.037380817E+00
1.668000E+13 1.360E+15 340 3.500E-4 1.025291805E+00 1.025296079E+00 1.042179328E+00 1.042201313E+00
2.154000E+13 1.360E+15 340 3.500E-4 1.028223192E+00 1.028227356E+00 1.046623494E+00 1.046643692E+00
2.783000E+13 1.360E+15 340 3.500E-4 1.031451658E+00 1.031455731E+00 1.050723094E+00 1.050741553E+00
3.594000E+13 1.360E+15 340 3.500E-4 1.035437974E+00 1.035441945E+00 1.054429989E+00 1.036094739E+00
4.642000E+13 1.360E+15 340 3.500E-4 1.039302156E+00 1.039305932E+00 1.057890903E+00 1.057906104E+00
5.995000E+13 1.360E+15 340 3.500E-4 1.043988148E+00 1.043991734E+00 1.044838252E+00 1.044843201E+00
7.743000E+13 1.360E+15 340 3.500E-4 1.048468578E+00 1.048471936E+00 1.049850167E+00 1.049855332E+00
1.000000E+14 1.360E+15 340 3.500E-4 1.053189465E+00 1.053192529E+00 1.055312173E+00 1.055317093E+00
