T d154 d184 d214 d244
d 150 180 210 240
290 2.664738500E-02 2.661585900E-02 2.588744200E-02 2.628824500E-02
295 2.653576200E-02 2.644055100E-02 2.571190500E-02 2.614757000E-02
300 2.572816500E-02 2.561881300E-02 2.477405900E-02 2.525009200E-02
305 2.427398900E-02 2.401136500E-02 2.300793800E-02 2.339282000E-02
310 2.135913400E-02 2.028596900E-02 1.943376300E-02 1.958306200E-02
315 1.587059400E-02 1.411226300E-02 1.272081000E-02 1.243456500E-02
320 4.632823000E-03 1.883206000E-03 -8.851540000E-04 -1.974083000E-03
325 -1.634577700E-02 -2.153213200E-02 -2.577312500E-02 -2.830613900E-02
330 -5.290860400E-02 -6.153282300E-02 -6.833989300E-02 -7.274990000E-02
335 -1.131052430E-01 -1.275289590E-01 -1.361381540E-01 -1.426106880E-01
340 -2.021681170E-01 -1.912804780E-01 -1.850817450E-01 -1.793286010E-01
