f G/w
1.0000000E+6 2.6552012E-5
8.9779585E+5 2.7906154E-5
8.0603739E+5 2.9309212E-5
7.2365703E+5 3.0796357E-5
6.4969628E+5 3.2339628E-5
5.8329463E+5 3.4036073E-5
5.2367949E+5 3.5876495E-5
4.7015728E+5 3.7855489E-5
4.2210526E+5 3.9902256E-5
3.7896435E+5 4.2231802E-5
3.4023262E+5 4.4758762E-5
3.0545943E+5 4.7518691E-5
2.7424021E+5 5.0503088E-5
2.4621173E+5 5.3839366E-5
2.2104787E+5 5.7484376E-5
1.9845586E+5 6.1508273E-5
1.7817285E+5 6.5961670E-5
1.5996284E+5 7.0837867E-5
1.4361398E+5 7.6304378E-5
1.2893603E+5 8.2343970E-5
1.1575824E+5 8.9032063E-5
1.0392726E+5 9.6536197E-5
9.3305466E+4 1.0478355E-4
8.3769261E+4 1.1396317E-4
7.5207695E+4 1.2424014E-4
6.7521156E+4 1.3563454E-4
6.0620214E+4 1.4826397E-4
5.4424577E+4 1.6243021E-4
4.8862159E+4 1.7818358E-4
4.3868244E+4 1.9570866E-4
3.9384728E+4 2.1514892E-4
3.5359445E+4 2.3692484E-4
3.1745563E+4 2.6129998E-4
2.8501035E+4 2.8816687E-4
2.5588111E+4 3.1816858E-4
2.2972900E+4 3.5150486E-4
2.0624974E+4 3.8872070E-4
1.8517016E+4 4.3001873E-4
1.6624501E+4 4.7611173E-4
1.4925408E+4 5.2734372E-4
1.3399969E+4 5.8447099E-4
1.2030437E+4 6.4793513E-4
1.0800876E+4 7.1853248E-4
9.6969820E+3 7.9694234E-4
8.7059100E+3 8.8356090E-4
7.8161300E+3 9.7978025E-4
7.0172890E+3 1.0867525E-3
6.3000930E+3 1.2057124E-3
5.6561970E+3 1.3378796E-3
5.0781110E+3 1.4852115E-3
4.5591070E+3 1.6494392E-3
4.0931470E+3 1.8318974E-3
3.6748100E+3 2.0348804E-3
3.2992300E+3 2.2603525E-3
2.9620350E+3 2.5112346E-3
2.6593020E+3 2.7900214E-3
2.3875110E+3 3.1002881E-3
2.1434970E+3 3.4453955E-3
1.9244230E+3 3.8285020E-3
1.7277390E+3 4.2548589E-3
1.5511570E+3 4.7271044E-3
1.3926220E+3 5.2541334E-3
1.2502900E+3 5.8388006E-3
1.1225050E+3 6.4901640E-3
1.0077810E+3 7.2150107E-3
9.0478100E+2 8.0139012E-3
8.1230900E+2 8.9075967E-3
7.2928800E+2 9.8973677E-3
6.5475100E+2 1.0999391E-2
5.8783300E+2 1.2224557E-2
5.2775400E+2 1.3584398E-2
4.7381500E+2 1.5088267E-2
4.2539000E+2 1.6756299E-2
3.8191300E+2 1.8613006E-2
3.4288000E+2 2.0676452E-2
3.0783600E+2 2.2968510E-2
2.7637400E+2 2.5509852E-2
2.4812700E+2 2.8338130E-2
2.2276800E+2 3.1493721E-2
2.0000000E+2 3.4983929E-2
