N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.018670444E+00 1.017104241E+00 1.015936856E+00 1.015070811E+00
1.600000000E+01 1.244374414E+00 1.242388556E+00 1.240939648E+00 1.240406578E+00
1.700000000E+01 1.289833450E+00 1.290131315E+00 1.290029956E+00 1.289817195E+00
1.549996187E+01 1.195964361E+00 1.192698545E+00 1.190495967E+00 1.188372665E+00
1.649996187E+01 1.261157601E+00 1.260649479E+00 1.260220480E+00 1.260030119E+00
1.674996808E+01 1.272583564E+00 1.272600388E+00 1.272323782E+00 1.272104716E+00
1.624993176E+01 1.253313582E+00 1.252132827E+00 1.251421399E+00 1.251059943E+00
1.574996808E+01 1.229970588E+00 1.227040349E+00 1.225448745E+00 1.224114793E+00
1.524993176E+01 1.074621540E+00 1.071297197E+00 1.069928973E+00 1.069094344E+00
