T d154 d184 d214 d244
d 150 180 210 240
290 1.458950000E-04 1.457100000E-04 1.457380000E-04 1.456630000E-04
295 1.357100000E-04 1.357430000E-04 1.356580000E-04 1.355630000E-04
300 1.224320000E-04 1.225420000E-04 1.226770000E-04 1.221700000E-04
305 1.124400000E-04 1.125210000E-04 1.124070000E-04 1.126460000E-04
310 1.033260000E-04 1.033670000E-04 1.033880000E-04 1.025000000E-04
315 9.371500000E-05 9.362000000E-05 9.379200000E-05 9.216600000E-05
320 8.842400000E-05 8.815600000E-05 8.832100000E-05 8.830900000E-05
325 8.535200000E-05 8.513400000E-05 8.522700000E-05 8.533900000E-05
330 8.351900000E-05 8.345500000E-05 8.330600000E-05 8.366900000E-05
335 8.623400000E-05 8.628200000E-05 8.612700000E-05 8.639900000E-05
340 9.219100000E-05 9.224800000E-05 9.231600000E-05 9.271000000E-05
