f U Un
1 18.9515 382.2408229124647
2 6.70646 135.2654296087132
3 3.65604 73.74021782977007
4 2.37967 47.996571198063734
5 1.70734 34.43606292860024
6 1.30307 26.282170229931424
7 1.03804 20.936668011294877
8 0.85336 17.211778943122226
9 0.7187 14.495764421137556
10 0.61699 12.444332392093587
11 0.53799 10.850947962888261
12 0.47522 9.584913271480435
13 0.42437 8.559298104074225
14 0.38253 7.715409439290036
15 0.34761 7.011093182734974
16 0.31813 6.41649858814038
17 0.29298 5.90923759580476
18 0.27131 5.472166196046793
19 0.25251 5.092981040742235
20 0.23606 4.7611940298507465
21 0.22157 4.468939088342073
22 0.20875 4.210367083501412
23 0.19732 3.9798305768455022
24 0.1871 3.7736990722065347
25 0.1779 3.5881403791851554
26 0.1696 3.420734167002824
27 0.16207 3.268858410649455
28 0.15522 3.1306978620411456
29 0.14897 3.0046389673255343
30 0.14324 2.8890681726502625
31 0.13798 2.7829770068576036
32 0.13313 2.6851553045582897
33 0.12865 2.5947962888261396
34 0.1245 2.5110931827349736
35 0.12065 2.4334409035901574
36 0.11706 2.3610326744655104
37 0.11372 2.2936668011294876
38 0.1106 2.230738200887455
39 0.10768 2.1718434852763213
40 0.10494 2.116579265832997
41 0.10236 2.064542154094393
42 0.09994 2.0157321500605083
43 0.09765 1.9695441710367083
44 0.0955 1.9261799112545381
45 0.09346 1.8850342880193627
46 0.09153 1.846107301331182
47 0.0897 1.8091972569584511
48 0.08796 1.7741024606696247
49 0.08631 1.7408229124647034
50 0.08474 1.709156918112142
51 0.08324 1.6789027833803953
52 0.08181 1.6500605082694635
53 0.08044 1.6224283985478014
54 0.07914 1.5962081484469546
55 0.07789 1.5709963695038323
56 0.0767 1.54699475594998
57 0.07555 1.5237999193223075
58 0.07445 1.5016135538523598
59 0.07339 1.480233965308592
60 0.07238 1.4598628479225495
61 0.0714 1.4400968132311418
62 0.07046 1.4211375554659136
63 0.06955 1.4027833803953207
64 0.06868 1.3852359822509077
65 0.06783 1.3680919725695846
66 0.06702 1.3517547398144412
67 0.06623 1.335820895522388
68 0.06547 1.3204921339249698
69 0.06473 1.3055667607906414
