f U Un
1 18.947 682.528818443804
2 6.69999 241.35410662824205
3 3.64813 131.41678674351584
4 2.37054 85.39409221902018
5 1.69715 61.13652737752161
6 1.29193 46.539265129682995
7 1.02604 36.961095100864554
8 0.84057 30.279899135446687
9 0.70516 25.402017291066283
10 0.60277 21.71361671469741
11 0.52313 18.844740634005763
12 0.45976 16.561959654178676
13 0.40836 14.710374639769453
14 0.36598 13.183717579250722
15 0.33057 11.90814121037464
16 0.30062 10.829250720461095
17 0.27503 9.907420749279538
18 0.25295 9.112031700288185
19 0.23375 8.420389048991355
20 0.21693 7.814481268011527
21 0.2021 7.280259365994237
22 0.18895 6.806556195965418
23 0.17721 6.383645533141211
24 0.1667 6.0050432276657055
25 0.15723 5.663904899135447
26 0.14868 5.355907780979828
27 0.14091 5.0760086455331415
28 0.13384 4.821325648414986
29 0.12737 4.5882564841498565
30 0.12145 4.375
31 0.116 4.178674351585014
32 0.11098 3.9978386167146973
33 0.10635 3.8310518731988474
34 0.10205 3.6761527377521617
35 0.09806 3.5324207492795385
36 0.09436 3.3991354466858787
37 0.0909 3.2744956772334293
38 0.08767 3.1581412103746396
39 0.08465 3.0493515850144095
40 0.08182 2.947406340057637
41 0.07917 2.8519452449567724
42 0.07667 2.7618876080691646
43 0.07432 2.677233429394813
44 0.07211 2.597622478386167
45 0.07001 2.5219740634005765
46 0.06804 2.4510086455331415
47 0.06617 2.3836455331412107
48 0.0644 2.319884726224784
49 0.06272 2.2593659942363113
50 0.06112 2.201729106628242
51 0.0596 2.1469740634005765
52 0.05816 2.0951008645533142
53 0.05678 2.045389048991354
54 0.05547 1.9981988472622478
55 0.05422 1.9531700288184437
56 0.05303 1.9103025936599425
57 0.05189 1.869236311239193
58 0.0508 1.8299711815561959
59 0.04975 1.7921469740634006
60 0.04875 1.7561239193083573
61 0.04779 1.7215417867435159
62 0.04687 1.688400576368876
63 0.04599 1.6567002881844382
64 0.04514 1.6260806916426513
65 0.04432 1.5965417867435159
66 0.04353 1.5680835734870318
67 0.04278 1.5410662824207493
68 0.04205 1.5147694524495676
69 0.04135 1.4895533141210373
70 0.04067 1.465057636887608
71 0.04002 1.44164265129683
72 0.03939 1.4189481268011528
73 0.03878 1.3969740634005765
74 0.03819 1.3757204610951008
75 0.03762 1.3551873198847262
76 0.03707 1.3353746397694524
77 0.03654 1.3162824207492796
78 0.03602 1.2975504322766571
79 0.03552 1.2795389048991355
80 0.03504 1.2622478386167149
81 0.03457 1.2453170028818443
82 0.03411 1.2287463976945245
83 0.03367 1.2128962536023054
84 0.03324 1.197406340057637
85 0.03283 1.182636887608069
86 0.03242 1.1678674351585014
87 0.03203 1.1538184438040346
88 0.03164 1.1397694524495678
89 0.03127 1.1264409221902016
90 0.03091 1.1134726224783862
91 0.03056 1.100864553314121
92 0.03022 1.0886167146974064
93 0.02988 1.0763688760806918
94 0.02956 1.0648414985590777
95 0.02924 1.053314121037464
96 0.02893 1.0421469740634006
97 0.02863 1.0313400576368876
98 0.02833 1.0205331412103746
99 0.02804 1.0100864553314122
100 0.02776 1.0
101 0.02749 0.9902737752161384
102 0.02722 0.9805475504322767
103 0.02696 0.9711815561959655
104 0.02671 0.9621757925072046
105 0.02646 0.9531700288184438
106 0.02621 0.944164265129683
107 0.02597 0.9355187319884726
108 0.02574 0.9272334293948127
109 0.02551 0.9189481268011528
110 0.02529 0.9110230547550432
111 0.02507 0.9030979827089337
112 0.02485 0.8951729106628242
113 0.02464 0.887608069164265
114 0.02444 0.8804034582132565
115 0.02423 0.8728386167146974
116 0.02404 0.8659942363112392
117 0.02384 0.8587896253602305
118 0.02365 0.8519452449567724
119 0.02346 0.8451008645533142
120 0.02328 0.8386167146974063
121 0.0231 0.8321325648414986
122 0.02292 0.8256484149855907
123 0.02275 0.8195244956772334
124 0.02258 0.8134005763688761
125 0.02241 0.8072766570605188
126 0.02225 0.8015129682997117
127 0.02209 0.7957492795389048
128 0.02193 0.789985590778098
129 0.02177 0.7842219020172911
130 0.02162 0.7788184438040346
131 0.02147 0.773414985590778
132 0.02132 0.7680115273775215
133 0.02118 0.7629682997118156
134 0.02103 0.7575648414985591
135 0.02089 0.752521613832853
136 0.02075 0.747478386167147
137 0.02062 0.7427953890489913
138 0.02048 0.7377521613832854
139 0.02035 0.7330691642651297
140 0.02022 0.728386167146974
141 0.02009 0.7237031700288185
142 0.01996 0.7190201729106628
143 0.01984 0.7146974063400576
144 0.01972 0.7103746397694525
145 0.0196 0.7060518731988472
146 0.01948 0.7017291066282421
147 0.01936 0.6974063400576368
148 0.01924 0.6930835734870318
149 0.01913 0.689121037463977
150 0.01902 0.6851585014409222
151 0.01891 0.6811959654178674
152 0.0188 0.6772334293948127
153 0.01869 0.6732708933717578
154 0.01858 0.6693083573487032
155 0.01848 0.6657060518731989
156 0.01837 0.6617435158501441
157 0.01827 0.6581412103746398
158 0.01817 0.6545389048991354
159 0.01807 0.6509365994236311
160 0.01797 0.6473342939481268
161 0.01787 0.6437319884726225
162 0.01778 0.6404899135446687
163 0.01768 0.6368876080691643
164 0.01759 0.6336455331412104
165 0.01749 0.630043227665706
166 0.0174 0.6268011527377522
167 0.01731 0.6235590778097982
168 0.01722 0.6203170028818443
169 0.01713 0.6170749279538905
170 0.01705 0.614193083573487
171 0.01696 0.6109510086455331
172 0.01688 0.6080691642651297
173 0.01679 0.6048270893371758
174 0.01671 0.6019452449567723
175 0.01663 0.5990634005763689
176 0.01654 0.595821325648415
177 0.01646 0.5929394812680114
178 0.01638 0.590057636887608
179 0.0163 0.5871757925072045
180 0.01623 0.5846541786743517
181 0.01615 0.5817723342939481
182 0.01607 0.5788904899135447
183 0.016 0.5763688760806917
184 0.01592 0.5734870317002881
185 0.01585 0.5709654178674352
186 0.01578 0.5684438040345821
187 0.0157 0.5655619596541787
188 0.01563 0.5630403458213257
189 0.01556 0.5605187319884726
190 0.01549 0.5579971181556196
191 0.01542 0.5554755043227666
192 0.01535 0.5529538904899136
193 0.01528 0.5504322766570605
194 0.01521 0.5479106628242075
195 0.01515 0.545749279538905
196 0.01508 0.5432276657060519
197 0.01502 0.5410662824207493
198 0.01495 0.5385446685878963
199 0.01489 0.5363832853025937
200 0.01482 0.5338616714697406
201 0.01476 0.531700288184438
202 0.0147 0.5295389048991355
203 0.01463 0.5270172910662825
204 0.01457 0.5248559077809798
205 0.01451 0.5226945244956772
206 0.01445 0.5205331412103746
207 0.01439 0.5183717579250721
208 0.01433 0.5162103746397695
209 0.01427 0.5140489913544668
210 0.01421 0.5118876080691643
211 0.01415 0.5097262247838616
212 0.0141 0.5079250720461095
213 0.01404 0.5057636887608069
214 0.01398 0.5036023054755043
215 0.01393 0.5018011527377522
216 0.01387 0.4996397694524496
217 0.01382 0.4978386167146974
218 0.01376 0.4956772334293948
219 0.01371 0.4938760806916426
220 0.01365 0.4917146974063401
221 0.0136 0.4899135446685879
222 0.01355 0.4881123919308357
223 0.0135 0.48631123919308356
224 0.01344 0.484149855907781
225 0.01339 0.48234870317002887
226 0.01334 0.48054755043227665
227 0.01329 0.4787463976945245
228 0.01324 0.4769452449567723
229 0.01319 0.4751440922190202
230 0.01314 0.47334293948126804
231 0.01309 0.4715417867435158
232 0.01304 0.46974063400576366
233 0.01299 0.46793948126801155
234 0.01294 0.4661383285302594
235 0.0129 0.46469740634005763
236 0.01285 0.46289625360230546
237 0.0128 0.46109510086455335
238 0.01276 0.4596541786743516
239 0.01271 0.45785302593659943
240 0.01266 0.4560518731988472
241 0.01262 0.4546109510086455
242 0.01257 0.45280979827089335
243 0.01253 0.45136887608069165
244 0.01248 0.4495677233429395
245 0.01244 0.44812680115273773
246 0.01239 0.44632564841498557
247 0.01235 0.44488472622478387
248 0.01231 0.4434438040345821
249 0.01226 0.44164265129682995
250 0.01222 0.44020172910662825
251 0.01218 0.4387608069164265
252 0.01213 0.4369596541786744
253 0.01209 0.43551873198847263
254 0.01205 0.4340778097982709
255 0.01201 0.4326368876080692
256 0.01197 0.4311959654178674
257 0.01193 0.42975504322766567
258 0.01189 0.42831412103746397
259 0.01185 0.4268731988472622
260 0.01181 0.4254322766570605
261 0.01177 0.42399135446685876
262 0.01173 0.4225504322766571
263 0.01169 0.42110951008645536
264 0.01165 0.4196685878962536
265 0.01161 0.4182276657060519
266 0.01157 0.41678674351585016
267 0.01153 0.4153458213256484
268 0.01149 0.4139048991354467
269 0.01146 0.41282420749279536
270 0.01142 0.41138328530259366
271 0.01138 0.4099423631123919
272 0.01134 0.4085014409221902
273 0.01131 0.4074207492795389
274 0.01127 0.4059798270893372
275 0.01124 0.4048991354466859
276 0.0112 0.4034582132564841
277 0.01116 0.4020172910662824
278 0.01113 0.4009365994236311
279 0.01109 0.3994956772334294
280 0.01106 0.3984149855907781
281 0.01102 0.3969740634005764
282 0.01099 0.39589337175792505
283 0.01095 0.39445244956772335
284 0.01092 0.393371757925072
285 0.01088 0.39193083573487036
286 0.01085 0.390850144092219
287 0.01081 0.3894092219020173
288 0.01078 0.388328530259366
289 0.01075 0.3872478386167147
290 0.01071 0.385806916426513
291 0.01068 0.3847262247838617
292 0.01065 0.38364553314121036
293 0.01062 0.38256484149855907
294 0.01058 0.3811239193083574
295 0.01055 0.3800432276657061
296 0.01052 0.37896253602305474
297 0.01049 0.37788184438040345
298 0.01046 0.37680115273775217
299 0.01042 0.37536023054755047
300 0.01039 0.3742795389048991
301 0.01036 0.37319884726224783
302 0.01033 0.37211815561959655
303 0.0103 0.37103746397694526
304 0.01027 0.3699567723342939
