fname V Rs Rt Qt nt Rr Qr nr rmsre
d82bm1V2T215 -1.2 1.0000000E-7 1.6587728E+4 8.4982473E-10 9.6395990E-1 2.7641138E+5 8.6472546E-10 9.5682415E-1 3.8418632E-2
d82bm1V2T243 -1.2 1.0000000E-7 1.1189803E+4 1.4493675E-9 9.5044620E-1 1.9524569E+5 3.0867970E-10 1.0000000E+0 3.9759567E-2
d82bm1V2T252 -1.2 7.0596833E+0 7.9306766E+3 1.3130891E-9 9.5876606E-1 2.1753163E+5 3.2241884E-10 1.0000000E+0 4.5462212E-2
d82bm1V2T269 -1.2 2.1041698E+1 3.9942196E+3 9.5082774E-10 9.8761989E-1 1.4798100E+5 6.4732393E-10 9.5084829E-1 4.2389469E-2
d82bm1V2T290 -1.2 2.6274376E+1 2.7834121E+3 9.0208569E-10 1.0000000E+0 9.9595950E+4 6.9271034E-10 9.4056381E-1 3.2105419E-2
d82bm1V2T291 -1.2 2.6491409E+1 2.6774402E+3 8.9481530E-10 1.0000000E+0 1.0306893E+5 6.3722338E-10 9.4715333E-1 2.7485984E-2
d82bm1VT215 -1 1.0000000E-7 1.6134090E+4 8.5193045E-10 9.6463908E-1 2.4437344E+5 1.0448865E-9 9.4713330E-1 3.6308855E-2
d82bm1VT243 -1 1.0000000E-7 1.0564306E+4 1.5254575E-9 9.4900076E-1 1.8127429E+5 3.4030680E-10 1.0000000E+0 4.2047813E-2
d82bm1VT252 -1 7.2759501E+0 7.2826404E+3 1.3580053E-9 9.5849691E-1 2.1078465E+5 3.9821131E-10 9.9029406E-1 4.6168808E-2
d82bm1VT269 -1 2.2503346E+1 3.6921495E+3 9.4541867E-10 9.9071564E-1 1.3368427E+5 6.8849836E-10 9.5596332E-1 4.5213005E-2
d82bm1VT290 -1 2.5092416E+1 2.5563666E+3 9.4144505E-10 1.0000000E+0 8.7641547E+4 6.9729344E-10 9.4891567E-1 3.4458662E-2
d82bm1VT291 -1 2.6852598E+1 2.5133583E+3 9.3540561E-10 1.0000000E+0 1.0141961E+5 6.6627021E-10 9.5125556E-1 3.0669784E-2
d82bm0V8T215 -0.8 1.0000000E-7 1.5630636E+4 8.5349687E-10 9.6549979E-1 2.2572209E+5 1.2624955E-9 9.3858094E-1 3.4688727E-2
d82bm0V8T243 -0.8 1.0000000E-7 9.8587126E+3 1.6097989E-9 9.4724946E-1 1.6118384E+5 4.2831050E-10 9.8904268E-1 3.6111471E-2
d82bm0V8T252 -0.8 6.1846483E+0 7.1948270E+3 1.5115658E-9 9.5346327E-1 2.0409224E+5 3.8767685E-10 1.0000000E+0 4.6708418E-2
d82bm0V8T269 -0.8 2.0841478E+1 3.5419623E+3 1.0706565E-9 9.8481836E-1 1.2550050E+5 7.2941765E-10 9.5654419E-1 3.9625646E-2
d82bm0V8T291 -0.8 2.7005220E+1 2.3176880E+3 9.7970258E-10 1.0000000E+0 9.6657734E+4 7.4170209E-10 9.5121787E-1 2.8795700E-2
d82bm0V6T216 -0.6 1.0000000E-7 1.5553058E+4 8.5786679E-10 9.6619392E-1 2.0537375E+5 1.4794286E-9 9.3345917E-1 3.4209620E-2
d82bm0V6T243 -0.6 1.0000000E-7 8.7446555E+3 1.6822614E-9 9.4666956E-1 1.2801335E+5 5.4194835E-10 9.8155762E-1 3.4517711E-2
d82bm0V6T252 -0.6 3.6154928E+0 6.8543720E+3 1.7322470E-9 9.4649764E-1 2.0339399E+5 4.1730590E-10 1.0000000E+0 4.2723466E-2
d82bm0V6T269 -0.6 2.0973582E+1 3.2168400E+3 1.1188497E-9 9.8471881E-1 1.0945572E+5 8.2935391E-10 9.5566530E-1 4.0955523E-2
d82bm0V6T290 -0.6 2.7005584E+1 2.1918220E+3 1.0413643E-9 1.0000000E+0 8.1621656E+4 8.4759461E-10 9.5030310E-1 3.1900107E-2
d82bm0V6T291 -0.6 2.7395165E+1 2.1389068E+3 1.0355209E-9 1.0000000E+0 9.0905774E+4 7.7585512E-10 9.5729311E-1 3.2562698E-2
d82bm0V4T216 -0.4 1.0000000E-7 1.5810987E+4 8.7092255E-10 9.6634502E-1 1.6854799E+5 1.6782476E-9 9.3373038E-1 3.3678710E-2
d82bm0V4T243 -0.4 1.0000000E-7 7.8258725E+3 1.7714778E-9 9.4558116E-1 1.0126087E+5 7.3464775E-10 9.6835482E-1 3.3701778E-2
d82bm0V4T252 -0.4 2.3810891E+0 6.5818400E+3 1.9586422E-9 9.4105912E-1 1.9138829E+5 4.6878641E-10 1.0000000E+0 4.5126699E-2
d82bm0V4T269 -0.4 2.1659752E+1 2.9715683E+3 1.1783315E-9 9.8481892E-1 9.4588513E+4 8.8264415E-10 9.6380121E-1 4.4632635E-2
