fname V Rs Rt Qt nt Rr Qr nr rmsre
d71am1V2n1 -1.2 6.9815885E+0 1.2283810E+3 1.0121413E-9 1.0000000E+0 1.0320159E+4 3.2388618E-10 9.8765172E-1 4.9178986E-3
d71am1Vn1 -1 6.5598260E+0 1.0788185E+3 1.0585394E-9 1.0000000E+0 9.8707045E+3 3.7444193E-10 9.8499244E-1 3.7188943E-3
d71am0V8n1 -0.8 6.5624242E+0 9.7673341E+2 1.1162171E-9 1.0000000E+0 9.2409380E+3 4.2520769E-10 9.8405488E-1 4.3728733E-3
d71am0V6n1 -0.6 6.1220416E+0 8.3932309E+2 1.1744014E-9 1.0000000E+0 8.6307661E+3 5.0416449E-10 9.8194974E-1 3.3461256E-3
d71am0V4n1 -0.4 5.6726002E+0 7.1268148E+2 1.2411319E-9 1.0000000E+0 7.8693860E+3 6.1836092E-10 9.7862226E-1 3.5038619E-3
d71am0V2n1 -0.2 5.3269152E+0 6.3215767E+2 1.3843391E-9 9.9704215E-1 7.1599595E+3 7.0263404E-10 9.7929775E-1 4.0304368E-3
d71a0Vn1 0 5.7818766E+0 5.4494842E+2 1.4279793E-9 1.0000000E+0 6.7944595E+3 8.6666743E-10 9.7753329E-1 4.1059691E-3
d71a0V2n1 0.2 4.2909135E+0 4.9834466E+2 2.1413486E-9 9.8121294E-1 5.6895003E+3 7.5109425E-10 1.0000000E+0 1.8903082E-2
d71a0V4n1 0.4 3.1289270E+0 3.4402706E+2 4.7282222E-9 9.4561629E-1 3.6172963E+3 1.3036827E-9 1.0000000E+0 7.6836131E-3

