N x
1.4484888E+0 1.2966809E+21
1.4381149E+0 1.3329799E+21
1.4282367E+0 1.3917216E+21
1.4185817E+0 1.4114429E+21
1.4088433E+0 1.3913142E+21
1.3987699E+0 1.4013962E+21
1.3890371E+0 1.4432556E+21
1.3794017E+0 1.4400298E+21
1.3694873E+0 1.4207260E+21
1.3594439E+0 1.4247565E+21
1.3494402E+0 1.4474220E+21
1.3395651E+0 1.4554463E+21
1.3295230E+0 1.4299225E+21
1.3191379E+0 1.4235968E+21
1.3088470E+0 1.4525598E+21
1.2987153E+0 1.4554217E+21
1.2883021E+0 1.4410627E+21
1.2777995E+0 1.4207781E+21
1.2669108E+0 1.4339520E+21
1.2564293E+0 1.4375594E+21
1.2454082E+0 1.4287025E+21
1.2346086E+0 1.3175364E+21
1.2215151E+0 1.3225678E+21
1.2105950E+0 1.4341581E+21
1.1991455E+0 1.4359532E+21
1.1880482E+0 1.4345895E+21
1.1763574E+0 1.4274921E+21
1.1649276E+0 1.4232853E+21
1.1529327E+0 1.4211939E+21
1.1412331E+0 1.4159967E+21
1.1288976E+0 1.4132737E+21
1.1168990E+0 1.4138277E+21
1.1043015E+0 1.4092029E+21
1.0919501E+0 1.4062680E+21
1.0790081E+0 1.3904854E+21
1.0660699E+0 1.3945149E+21
1.0528864E+0 1.3844913E+21
1.0394292E+0 1.3725069E+21
1.0256647E+0 1.3601137E+21
1.0115908E+0 1.3541101E+21
9.9731528E-1 1.3507564E+21
9.8276298E-1 1.3509475E+21
9.6806669E-1 1.3495385E+21
9.5303642E-1 1.3431035E+21
9.3772743E-1 1.3408939E+21
9.2215116E-1 1.3287930E+21
9.0602962E-1 1.3120992E+21
8.8948081E-1 1.3012667E+21
8.7247368E-1 1.2864226E+21
8.5487316E-1 1.2857390E+21
8.3714409E-1 1.2944039E+21
