T nFsrh nFBsrh dnsrh nF nFB dn
290 1.200542576E+00 1.206236591E+0 -5.694015000E-03 1.200542576E+00 1.206236591E+0 -5.694015000E-03
295 1.209657449E+00 1.209792394E+0 -1.349450000E-04 1.209657449E+00 1.209792394E+0 -1.349450000E-04
300 1.207972039E+00 1.213348198E+0 -5.376159000E-03 1.207972039E+00 1.213348198E+0 -5.376159000E-03
305 1.216866225E+00 1.216904001E+0 -3.777600000E-05 1.216866225E+00 1.216904001E+0 -3.777600000E-05
310 1.215443092E+00 1.220459804E+0 -5.016712000E-03 1.215443092E+00 1.220459804E+0 -5.016712000E-03
315 1.218531212E+00 1.224015608E+0 -5.484396000E-03 1.218531212E+00 1.224015608E+0 -5.484396000E-03
320 1.226912980E+00 1.227571411E+0 -6.584310000E-04 1.226912980E+00 1.227571411E+0 -6.584310000E-04
325 1.230193375E+00 1.231127214E+0 -9.338390000E-04 1.230193375E+00 1.231127214E+0 -9.338390000E-04
330 1.237538195E+00 1.234683017E+0 2.855178000E-03 1.237538195E+00 1.234683017E+0 2.855178000E-03
335 1.244202917E+00 1.238238821E+0 5.964096000E-03 1.244202917E+00 1.238238821E+0 5.964096000E-03
340 1.245014845E+00 1.241794624E+0 3.220221000E-03 1.245014845E+00 1.241794624E+0 3.220221000E-03
