T nFsrh nFBsrh dnsrh nF nFB dn
290 1.225220686E+00 1.219068982E+0 6.151704000E-03 1.225220686E+00 1.219068982E+0 6.151704000E-03
295 1.234817623E+00 1.222846033E+0 1.197159000E-02 1.234817623E+00 1.222846033E+0 1.197159000E-02
300 1.220447891E+00 1.226623085E+0 -6.175194000E-03 1.220447891E+00 1.226623085E+0 -6.175194000E-03
305 1.229946321E+00 1.230400136E+0 -4.538150000E-04 1.229946321E+00 1.230400136E+0 -4.538150000E-04
310 1.228627326E+00 1.234177188E+0 -5.549862000E-03 1.228627326E+00 1.234177188E+0 -5.549862000E-03
315 1.238185078E+00 1.237954239E+0 2.308390000E-04 1.238185078E+00 1.237954239E+0 2.308390000E-04
320 1.247598250E+00 1.241731290E+0 5.866960000E-03 1.247598250E+00 1.241731290E+0 5.866960000E-03
325 1.246540726E+00 1.245508342E+0 1.032384000E-03 1.246540726E+00 1.245508342E+0 1.032384000E-03
330 1.250261665E+00 1.249285393E+0 9.762720000E-04 1.250261665E+00 1.249285393E+0 9.762720000E-04
335 1.259235997E+00 1.253062445E+0 6.173552000E-03 1.259235997E+00 1.253062445E+0 6.173552000E-03
340 1.263055536E+00 1.256839496E+0 6.216040000E-03 1.263055536E+00 1.256839496E+0 6.216040000E-03
