N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 6.176810000E-04 5.269420000E-04 4.670290000E-04 4.247800000E-04
1.600000000E+01 2.711797000E-03 2.389325000E-03 2.248254000E-03 2.322625000E-03
1.700000000E+01 7.532727000E-03 7.111095000E-03 7.117591000E-03 7.116345000E-03
1.549996187E+01 1.500515000E-03 1.311520000E-03 1.190314000E-03 1.106645000E-03
1.649996187E+01 4.200380000E-03 4.054670000E-03 3.982423000E-03 3.939020000E-03
1.674996808E+01 5.420634000E-03 5.347849000E-03 5.306943000E-03 5.506934000E-03
1.624993176E+01 3.292232000E-03 3.101648000E-03 2.988847000E-03 2.914488000E-03
1.574996808E+01 2.038601000E-03 1.813228000E-03 1.862782000E-03 1.720422000E-03
1.524993176E+01 1.039561000E-03 9.019880000E-04 8.107860000E-04 7.497700000E-04
