fname time Tem kT_1 A1 A2 m1 m2 dev 
01RV 1rv.dat 285.2 40.65 5.952E-008 0.000E+000 4.960E+000 0.000E+000 9.678E-003 
03RV 3rv.dat 287.8 40.29 5.166E-008 0.000E+000 4.908E+000 0.000E+000 4.992E-003 
05RV 5rv.dat 293.5 39.5 4.799E-008 0.000E+000 4.886E+000 0.000E+000 5.558E-003 
07RV 7rv.dat 298 38.91 5.063E-008 0.000E+000 4.773E+000 0.000E+000 3.517E-003 
09RV 9rv.dat 301.2 38.49 6.137E-008 0.000E+000 4.630E+000 0.000E+000 2.571E-003 
11RV 11rv.dat 304.7 38.05 5.259E-008 0.000E+000 4.686E+000 0.000E+000 2.884E-003 
13RV 13rv.dat 310.8 37.3 8.069E-008 0.000E+000 4.465E+000 0.000E+000 6.391E-003 
15RV 15rv.dat 316.5 36.63 1.022E-007 0.000E+000 4.334E+000 0.000E+000 6.496E-003 
17RV 17rv.dat 320.1 36.22 1.171E-007 0.000E+000 4.260E+000 0.000E+000 4.185E-003 
19RV 19rv.dat 325.9 35.58 1.531E-007 0.000E+000 4.142E+000 0.000E+000 5.603E-003 
21RV 21rv.dat 330.8 35.05 2.218E-007 0.000E+000 3.985E+000 0.000E+000 7.506E-003 
23RV 23rv.dat 334.7 34.64 3.473E-007 0.000E+000 3.747E+000 0.000E+000 5.127E-003 
25RV 25rv.dat 342.4 33.86 5.222E-007 0.000E+000 3.620E+000 0.000E+000 2.188E-003 
