d Bo nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.500000000E+01 1.023756227E+00 1.017366230E+00 6.389997000E-03 1.023740714E+00 1.017349757E+00 6.390957000E-03 1.551300000E-05 1.647300000E-05
150 1.524993176E+01 1.015651385E+00 1.158081377E+00 -1.424299920E-01 1.015636879E+00 1.158061836E+00 -1.424249570E-01 1.450600000E-05 1.954100000E-05
150 1.549996187E+01 1.148414355E+00 1.214555640E+00 -6.614128500E-02 1.148414095E+00 1.214507314E+00 -6.609321900E-02 2.600000002E-07 4.832600000E-05
150 1.574996808E+01 1.232656638E+00 1.233715017E+00 -1.058379000E-03 1.232612868E+00 1.233641656E+00 -1.028788000E-03 4.377000000E-05 7.336100000E-05
150 1.600000000E+01 1.269271580E+00 1.246290166E+00 2.298141400E-02 1.269176135E+00 1.246186452E+00 2.298968300E-02 9.544500000E-05 1.037140000E-04
150 1.624993176E+01 1.291433517E+00 1.255118808E+00 3.631470900E-02 1.291256787E+00 1.254977650E+00 3.627913700E-02 1.767300000E-04 1.411580000E-04
150 1.649996187E+01 1.309913038E+00 1.262621600E+00 4.729143800E-02 1.309586915E+00 1.262434672E+00 4.715224300E-02 3.261230000E-04 1.869280000E-04
150 1.674996808E+01 1.330793403E+00 1.274130925E+00 5.666247800E-02 1.330168073E+00 1.273881284E+00 5.628678900E-02 6.253300000E-04 2.496410000E-04
150 1.700000000E+01 1.352204982E+00 1.292013679E+00 6.019130300E-02 1.350965180E+00 1.291677144E+00 5.928803600E-02 1.239802000E-03 3.365350000E-04
180 1.500000000E+01 1.021523573E+00 1.016011274E+00 5.512299000E-03 1.021511103E+00 1.015997792E+00 5.513311000E-03 1.247000000E-05 1.348200000E-05
180 1.524993176E+01 1.014753957E+00 1.156427004E+00 -1.416730470E-01 1.014741454E+00 1.156405089E+00 -1.416636350E-01 1.250300000E-05 2.191500000E-05
180 1.549996187E+01 1.151633040E+00 1.212302669E+00 -6.066962900E-02 1.151626925E+00 1.212255246E+00 -6.062832100E-02 6.115000000E-06 4.742300000E-05
180 1.574996808E+01 1.232805825E+00 1.232067528E+00 7.382970000E-04 1.232760948E+00 1.231996909E+00 7.640390000E-04 4.487700000E-05 7.061900000E-05
180 1.600000000E+01 1.268802806E+00 1.245147864E+00 2.365494200E-02 1.268710375E+00 1.245048221E+00 2.366215400E-02 9.243100000E-05 9.964300000E-05
180 1.624993176E+01 1.291046567E+00 1.254484970E+00 3.656159700E-02 1.290877420E+00 1.254348173E+00 3.652924700E-02 1.691470000E-04 1.367970000E-04
180 1.649996187E+01 1.310276862E+00 1.262378374E+00 4.789848800E-02 1.309963758E+00 1.262194352E+00 4.776940600E-02 3.131040000E-04 1.840220000E-04
180 1.674996808E+01 1.329473968E+00 1.274184604E+00 5.528936400E-02 1.328871840E+00 1.273936701E+00 5.493513900E-02 6.021280000E-04 2.479030000E-04
180 1.700000000E+01 1.351734403E+00 1.292284074E+00 5.945032900E-02 1.350532677E+00 1.291948145E+00 5.858453200E-02 1.201726000E-03 3.359290000E-04
210 1.500000000E+01 1.020190854E+00 1.015119868E+00 5.070986000E-03 1.020180206E+00 1.015108286E+00 5.071920000E-03 1.064800000E-05 1.158200000E-05
210 1.524993176E+01 1.014255954E+00 1.154856927E+00 -1.406009730E-01 1.014244582E+00 1.154831833E+00 -1.405872510E-01 1.137200000E-05 2.509400000E-05
210 1.549996187E+01 1.154627879E+00 1.210804253E+00 -5.617637400E-02 1.154616579E+00 1.210756785E+00 -5.614020600E-02 1.130000000E-05 4.746800000E-05
210 1.574996808E+01 1.232723675E+00 1.231053638E+00 1.670037000E-03 1.232677506E+00 1.230984569E+00 1.692937000E-03 4.616900000E-05 6.906900000E-05
210 1.600000000E+01 1.266786117E+00 1.244374939E+00 2.241117800E-02 1.266695147E+00 1.244277386E+00 2.241776100E-02 9.097000000E-05 9.755300000E-05
210 1.624993176E+01 1.290624866E+00 1.254127366E+00 3.649750000E-02 1.290459752E+00 1.253992649E+00 3.646710300E-02 1.651140000E-04 1.347170000E-04
210 1.649996187E+01 1.309963663E+00 1.262071378E+00 4.789228500E-02 1.309658923E+00 1.261889291E+00 4.776963200E-02 3.047400000E-04 1.820870000E-04
210 1.674996808E+01 1.329733859E+00 1.273981424E+00 5.575243500E-02 1.329144552E+00 1.273734344E+00 5.541020800E-02 5.893070000E-04 2.470800000E-04
210 1.700000000E+01 1.351000869E+00 1.292254566E+00 5.874630300E-02 1.349819324E+00 1.291919270E+00 5.790005400E-02 1.181545000E-03 3.352960000E-04
240 1.500000000E+01 1.019456280E+00 1.014531544E+00 4.924736000E-03 1.019446725E+00 1.014521213E+00 4.925512000E-03 9.555000000E-06 1.033100000E-05
240 1.524993176E+01 1.013989382E+00 1.152991806E+00 -1.390024240E-01 1.013978737E+00 1.152963356E+00 -1.389846190E-01 1.064500000E-05 2.845000000E-05
240 1.549996187E+01 1.155505097E+00 1.209252798E+00 -5.374770100E-02 1.155489512E+00 1.209204718E+00 -5.371520600E-02 1.558500000E-05 4.808000000E-05
240 1.574996808E+01 1.233206385E+00 1.230407076E+00 2.799309000E-03 1.233159000E+00 1.230338929E+00 2.820071000E-03 4.738500000E-05 6.814700000E-05
240 1.600000000E+01 1.267736515E+00 1.244290861E+00 2.344565400E-02 1.267646199E+00 1.244194602E+00 2.345159700E-02 9.031600000E-05 9.625900000E-05
240 1.624993176E+01 1.290094862E+00 1.254031719E+00 3.606314300E-02 1.289932358E+00 1.253898198E+00 3.603416000E-02 1.625040000E-04 1.335210000E-04
240 1.649996187E+01 1.309828010E+00 1.262033543E+00 4.779446700E-02 1.309527119E+00 1.261851683E+00 4.767543600E-02 3.008910000E-04 1.818600000E-04
240 1.674996808E+01 1.329438814E+00 1.273691693E+00 5.574712100E-02 1.328857611E+00 1.273445222E+00 5.541238900E-02 5.812030000E-04 2.464710000E-04
240 1.700000000E+01 1.351246812E+00 1.292055658E+00 5.919115400E-02 1.350073136E+00 1.291718569E+00 5.835456700E-02 1.173676000E-03 3.370890000E-04
