Complexity,Loss,Equation
1,125.309616,"4.225301"
2,125.3096,"PowInv(0.23663239)"
3,124.435394,"2.4491236 + T"
4,24.435972,"PowInv(0.011035907 + por)"
5,23.438734,"(0.030267708 + por) ^ -1.2881021"
6,1.8678794,"PowInv((T / 205.01727) + por)"
7,0.3986717,"((T * 0.01111286) + por) ^ -1.2081105"
8,0.39789808,"(tanh(T * 0.011127671) + por) ^ -1.2084621"
9,0.30948335,"((0.013789967 * (T ^ 0.92160314)) + por) ^ -1.2637199"
10,0.309312,"(por + tanh(0.013790446 * (T ^ 0.9219782))) ^ -1.2637203"
11,0.19401282,"(1.3867774 / ((por + (T * 0.012087068)) ^ 1.1526271)) + -1.0375874"
12,0.19386667,"-1.0379677 + (1.3867776 / ((tanh(0.012089185 * T) + por) ^ 1.1526277))"
13,0.15521011,"((1.6273915 / (0.008876241 + (por / T))) / (T + -0.19107991)) + -1.7516376"
15,0.13596925,"-1.3068458 + (((1.570388 / ((por / T) + 0.00871361)) + -0.4169201) / (-0.21152836 + T))"
16,0.129683,"-1.8638428 + (((1.5680597 / ((por / T) + 0.008711253)) + log(T)) / (-0.21277219 + T))"
17,0.10312735,"-3.3781552 + ((-0.6726297 + (3.1800802 / (((por ^ 0.7395308) / T) + 0.017006688))) / (T + -0.18889971))"
18,0.10001887,"-4.1319904 + ((-0.94397724 + (3.7707243 / (0.01990181 + ((sin(por) ^ 0.6923145) / T)))) / (T + -0.18186727))"
19,0.10000781,"neg(4.048018) + (((3.6968756 / (0.01953762 + ((sin(por) ^ 0.6985312) / T))) + -0.930098) / (T + -0.1826325))"
20,0.099623434,"((PowInv(neg(T)) + (3.553886 / sin(0.018871203 + ((por ^ 0.71161324) / T)))) / (T + -0.1871545)) + -4.07334"
