Ytrue por T Ypred RelError
2.263500e+02 0.000000e+00 3.000000e+02 2.262981e+02 2.291607e-04
1.501700e+01 1.000000e+01 3.000000e+02 1.540471e+01 2.581804e-02
8.173000e+00 2.000000e+01 3.000000e+02 8.013524e+00 1.951251e-02
5.363000e+00 3.000000e+01 3.000000e+02 4.958257e+00 7.546948e-02
3.077000e+00 4.000000e+01 3.000000e+02 3.242566e+00 5.380748e-02
1.845000e+00 5.000000e+01 3.000000e+02 2.135775e+00 1.576015e-01
1.262000e+00 6.000000e+01 3.000000e+02 1.363844e+00 8.070033e-02
1.009000e+00 7.000000e+01 3.000000e+02 7.989989e-01 2.081279e-01
2.910000e+00 4.000000e+01 4.000000e+02 3.029603e+00 4.110066e-02
2.820000e+00 4.000000e+01 5.000000e+02 2.876545e+00 2.005147e-02
2.743000e+00 4.000000e+01 6.000000e+02 2.751480e+00 3.091375e-03
2.624000e+00 4.000000e+01 7.000000e+02 2.642230e+00 6.947445e-03
2.490000e+00 4.000000e+01 8.000000e+02 2.543121e+00 2.133354e-02
2.481000e+00 4.000000e+01 9.000000e+02 2.451133e+00 1.203846e-02
2.405000e+00 4.000000e+01 1.000000e+03 2.364502e+00 1.683927e-02
7.895000e+00 2.000000e+01 4.000000e+02 7.410705e+00 6.134199e-02
7.256000e+00 2.000000e+01 5.000000e+02 6.995246e+00 3.593636e-02
6.745000e+00 2.000000e+01 6.000000e+02 6.667790e+00 1.144694e-02
6.558000e+00 2.000000e+01 7.000000e+02 6.390335e+00 2.556650e-02
6.120000e+00 2.000000e+01 8.000000e+02 6.145093e+00 4.100093e-03
5.731000e+00 2.000000e+01 9.000000e+02 5.922551e+00 3.342360e-02
5.509000e+00 2.000000e+01 1.000000e+03 5.717105e+00 3.777551e-02
1.617300e+02 0.000000e+00 4.000000e+02 1.595918e+02 1.322061e-02
1.213900e+02 0.000000e+00 5.000000e+02 1.228363e+02 1.191439e-02
9.503000e+01 0.000000e+00 6.000000e+02 9.955814e+01 4.764960e-02
8.385000e+01 0.000000e+00 7.000000e+02 8.349311e+01 4.256328e-03
7.480000e+01 0.000000e+00 8.000000e+02 7.173829e+01 4.093197e-02
6.475000e+01 0.000000e+00 9.000000e+02 6.276423e+01 3.066829e-02
5.464000e+01 0.000000e+00 1.000000e+03 5.568856e+01 1.919027e-02
