Fe T nFsrh nFBsrh dnsrh nF nFB dn
1.300000000E+01 290 1.209167748E+00 1.204487249E+0 4.680499000E-03 1.209167748E+00 1.204487249E+0 4.680499000E-03
1.300000000E+01 295 1.194753837E+00 1.208470526E+0 -1.371668900E-02 1.194753837E+00 1.208470526E+0 -1.371668900E-02
1.300000000E+01 300 1.202937967E+00 1.212454121E+0 -9.516154000E-03 1.202937967E+00 1.212454121E+0 -9.516154000E-03
1.300000000E+01 305 1.204991276E+00 1.216425195E+0 -1.143391900E-02 1.204991276E+00 1.216425195E+0 -1.143391900E-02
1.300000000E+01 310 1.209132796E+00 1.220353450E+0 -1.122065400E-02 1.209132796E+00 1.220353450E+0 -1.122065400E-02
1.300000000E+01 315 1.217112234E+00 1.224169275E+0 -7.057041000E-03 1.217112234E+00 1.224169275E+0 -7.057041000E-03
1.300000000E+01 320 1.220975694E+00 1.227717372E+0 -6.741678000E-03 1.220975694E+00 1.227717372E+0 -6.741678000E-03
1.300000000E+01 325 1.223068617E+00 1.230662713E+0 -7.594096000E-03 1.223068617E+00 1.230662713E+0 -7.594096000E-03
1.300000000E+01 330 1.224754595E+00 1.232312506E+0 -7.557911000E-03 1.224754595E+00 1.232312506E+0 -7.557911000E-03
1.300000000E+01 335 1.231779506E+00 1.231320142E+0 4.593640000E-04 1.231779506E+00 1.231320142E+0 4.593640000E-04
1.300000000E+01 340 1.232996970E+00 1.225326900E+0 7.670070000E-03 1.232996970E+00 1.225326900E+0 7.670070000E-03
