T nFsrh nFBsrh dnsrh nF nFB dn
290 1.169479649E+00 1.138158164E+00 3.132148500E-02 1.167988696E+00 1.133867655E+00 3.412104100E-02
295 1.176603812E+00 1.137378888E+00 3.922492400E-02 1.165322313E+00 1.135708084E+00 2.961422900E-02
300 1.174056972E+00 1.142995594E+00 3.106137800E-02 1.171621810E+00 1.140851232E+00 3.077057800E-02
305 1.180453380E+00 1.148373657E+00 3.207972300E-02 1.175631084E+00 1.145643594E+00 2.998749000E-02
310 1.181964252E+00 1.153437141E+00 2.852711100E-02 1.175126654E+00 1.150019304E+00 2.510735000E-02
315 1.182544456E+00 1.158080539E+00 2.446391700E-02 1.177947853E+00 1.153847016E+00 2.410083700E-02
320 1.186614473E+00 1.162405385E+00 2.420908800E-02 1.181187054E+00 1.157218030E+00 2.396902400E-02
325 1.189000010E+00 1.166051448E+00 2.294856200E-02 1.182570502E+00 1.159787271E+00 2.278323100E-02
330 1.179551865E+00 1.169079475E+00 1.047239000E-02 1.172851129E+00 1.161613043E+00 1.123808600E-02
335 1.164674341E+00 1.171275760E+00 -6.601419000E-03 1.157325770E+00 1.162502694E+00 -5.176924000E-03
340 1.151940581E+00 1.172489876E+00 -2.054929500E-02 1.146875067E+00 1.162941477E+00 -1.606641000E-02
