N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 1.015154463E+00 1.015152139E+00 1.015148788E+00 1.015143995E+00 1.015137230E+00 1.015127875E+00 1.015115351E+00 1.015099483E+00 1.015081356E+00 1.015065112E+00 1.015061418E+00 1.015093405E+00 1.015205534E+00 1.015473662E+00 1.016011274E+00 1.016963528E+00 1.032438533E+00 1.054114167E+00 1.069740655E+00
1.600000000E+01 1.228608156E+00 1.228684285E+00 1.228795258E+00 1.228956624E+00 1.229190154E+00 1.229526042E+00 1.230004848E+00 1.230678800E+00 1.231611047E+00 1.232870687E+00 1.234521346E+00 1.236603458E+00 1.239114390E+00 1.241997024E+00 1.245147864E+00 1.248446238E+00 1.251790996E+00 1.255126039E+00 1.258444516E+00
1.700000000E+01 1.232170346E+00 1.233387286E+00 1.235093199E+00 1.237388116E+00 1.240459870E+00 1.244327064E+00 1.249073400E+00 1.254530870E+00 1.260449352E+00 1.266512769E+00 1.272428837E+00 1.278001110E+00 1.283150134E+00 1.287889088E+00 1.292284074E+00 1.296422407E+00 1.300425064E+00 1.304425609E+00 1.308311503E+00
1.549996187E+01 1.192072401E+00 1.192172871E+00 1.192319359E+00 1.192532226E+00 1.192840174E+00 1.193282753E+00 1.193912760E+00 1.194797469E+00 1.196016247E+00 1.197651407E+00 1.199768464E+00 1.202386555E+00 1.205448862E+00 1.208816071E+00 1.212302669E+00 1.215744326E+00 1.219053335E+00 1.222198733E+00 1.225199732E+00
1.649996187E+01 1.228582430E+00 1.228876808E+00 1.229301222E+00 1.229908088E+00 1.230765930E+00 1.231959345E+00 1.233583117E+00 1.235728295E+00 1.238456790E+00 1.241769969E+00 1.245585296E+00 1.249740498E+00 1.254034041E+00 1.258284746E+00 1.262378374E+00 1.266279887E+00 1.270016134E+00 1.273647840E+00 1.277246604E+00
1.674996808E+01 1.227884407E+00 1.228503346E+00 1.229410687E+00 1.230627231E+00 1.232300217E+00 1.234578426E+00 1.237494754E+00 1.241159454E+00 1.245482179E+00 1.250300455E+00 1.255372472E+00 1.260444305E+00 1.265321049E+00 1.269904018E+00 1.274184604E+00 1.278212883E+00 1.282065568E+00 1.285825232E+00 1.289611747E+00
1.624993176E+01 1.230910831E+00 1.231051810E+00 1.231256641E+00 1.231552814E+00 1.231978155E+00 1.232583145E+00 1.233432087E+00 1.234601029E+00 1.236170206E+00 1.238207853E+00 1.240746514E+00 1.243759363E+00 1.247151238E+00 1.250777143E+00 1.254484970E+00 1.258160134E+00 1.261749395E+00 1.265257456E+00 1.268726939E+00
1.574996808E+01 1.218717679E+00 1.218775318E+00 1.218859432E+00 1.218981780E+00 1.219159104E+00 1.219414604E+00 1.219779773E+00 1.220295669E+00 1.221013084E+00 1.221989687E+00 1.223282970E+00 1.224938022E+00 1.226973251E+00 1.229369182E+00 1.232067528E+00 1.234982567E+00 1.238021963E+00 1.241110084E+00 1.244205199E+00
1.524993176E+01 1.091684456E+00 1.091986445E+00 1.092427307E+00 1.093069317E+00 1.094000836E+00 1.095345194E+00 1.097270229E+00 1.099995715E+00 1.103791821E+00 1.108956683E+00 1.115754875E+00 1.124301809E+00 1.134405662E+00 1.145444645E+00 1.156427004E+00 1.166310279E+00 1.174446063E+00 1.180779344E+00 1.185667008E+00
