N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 1.012133729E+00 1.011100587E+00 1.010364126E+00 1.009798118E+00
1.016672606E+01 1.012129158E+00 1.011091746E+00 1.010349996E+00 1.009777694E+00
1.033324570E+01 1.012122598E+00 1.011079080E+00 1.010329833E+00 1.009748695E+00
1.049996187E+01 1.012113286E+00 1.011061150E+00 1.010301451E+00 1.009708174E+00
1.066670514E+01 1.012100290E+00 1.011036216E+00 1.010262320E+00 1.009652911E+00
1.083333839E+01 1.012082621E+00 1.011002492E+00 1.010210059E+00 1.009580297E+00
1.100000000E+01 1.012059603E+00 1.010958851E+00 1.010143709E+00 1.009490382E+00
1.116672606E+01 1.012031753E+00 1.010906447E+00 1.010066387E+00 1.009389755E+00
1.133324570E+01 1.012002651E+00 1.010851894E+00 1.009989994E+00 1.009297680E+00
1.149996187E+01 1.011982441E+00 1.010812629E+00 1.009942126E+00 1.009253577E+00
1.166670514E+01 1.011993594E+00 1.010824349E+00 1.009973530E+00 1.009322239E+00
1.183333839E+01 1.012078679E+00 1.010948283E+00 1.010161509E+00 1.009590726E+00
1.200000000E+01 1.012307701E+00 1.011273042E+00 1.012433754E+00 1.020199779E+00
1.216672606E+01 1.035743090E+00 1.044691914E+00 1.052923482E+00 1.057995453E+00
1.233324570E+01 1.073756799E+00 1.081127413E+00 1.086111557E+00 1.087819888E+00
1.249996187E+01 1.106531292E+00 1.110238631E+00 1.111788900E+00 1.110914514E+00
1.266670514E+01 1.132351364E+00 1.132484501E+00 1.131641268E+00 1.129290316E+00
1.283333839E+01 1.151910267E+00 1.149662910E+00 1.147534067E+00 1.144463062E+00
1.300000000E+01 1.166940753E+00 1.163444434E+00 1.160703414E+00 1.157271817E+00
