Algorithm Test Finner Holm Hochberg Holland 
GOTLBO Friedman + + + +
GOTLBO FriedmanAligned + + + +
GOTLBO Quade - - - -
PSO Friedman + + + +
PSO FriedmanAligned + + + +
PSO Quade - - - -
ISCA Friedman + + + +
ISCA FriedmanAligned + + + +
ISCA Quade - - - -
NNA Friedman + + + +
NNA FriedmanAligned + + + +
NNA Quade - - - -
CWOA Friedman + + + +
CWOA FriedmanAligned + + + +
CWOA Quade - - - -
WW Friedman + + + +
WW FriedmanAligned + + + +
WW Quade - - - -
MABC Friedman + + + +
MABC FriedmanAligned + + + +
MABC Quade - - - -
DE Friedman - - - -
DE FriedmanAligned - - - -
DE Quade - - - -
IJAYA Friedman - - - -
IJAYA FriedmanAligned - - - -
IJAYA Quade - - - -
EBLSHADE Friedman - - - -
EBLSHADE FriedmanAligned - - - -
EBLSHADE Quade - - - -
ADELI Friedman - - - -
ADELI FriedmanAligned - - - -
ADELI Quade - - - -
TLBO Friedman - - - -
TLBO FriedmanAligned - - - -
TLBO Quade - - - -
STLBO Friedman - - - -
STLBO FriedmanAligned - - - -
STLBO Quade - - - -
