Algorithm Test Finner Holm Hochberg Holland 
DE Friedman - - - -
DE FriedmanAligned - - - -
DE Quade - - - -
EBLSHADE Friedman - - - -
EBLSHADE FriedmanAligned - - - -
EBLSHADE Quade - - - -
ADELI Friedman - - - -
ADELI FriedmanAligned - - - -
ADELI Quade - - - -
NDE Friedman - - - -
NDE FriedmanAligned - - - -
NDE Quade - - - -
MABC Friedman - - - -
MABC FriedmanAligned - - - -
MABC Quade - - - -
TLBO Friedman - - - -
TLBO FriedmanAligned - - - -
TLBO Quade - - - -
GOTLBO Friedman - - - -
GOTLBO FriedmanAligned - - - -
GOTLBO Quade - - - -
STLBO Friedman - - - -
STLBO FriedmanAligned - - - -
STLBO Quade - - - -
IJAYA Friedman - - - -
IJAYA FriedmanAligned - - - -
IJAYA Quade - - - -
ISCA Friedman - - - -
ISCA FriedmanAligned - - - -
ISCA Quade - - - -
NNA Friedman - - - -
NNA FriedmanAligned - - - -
NNA Quade - - - -
CWOA Friedman - - - -
CWOA FriedmanAligned - - - -
CWOA Quade - - - -
WW Friedman - - - -
WW FriedmanAligned - - - -
WW Quade - - - -
