Algorithm Test Finner Holm Hochberg Holland 
WW Friedman + + + +
WW FriedmanAligned + + + +
WW Quade + + + +
CWOA Friedman + + + +
CWOA FriedmanAligned + + + +
CWOA Quade + + + +
ISCA Friedman + + + +
ISCA FriedmanAligned + + + +
ISCA Quade + + + +
NNA Friedman + + + +
NNA FriedmanAligned + + + +
NNA Quade + + + +
PSO Friedman + + + +
PSO FriedmanAligned + + + +
PSO Quade + + + +
GOTLBO Friedman + + + +
GOTLBO FriedmanAligned + + + +
GOTLBO Quade + + + +
MABC Friedman + + + +
MABC FriedmanAligned + + + +
MABC Quade + - - -
DE Friedman + + + +
DE FriedmanAligned + + + +
DE Quade - - - -
IJAYA Friedman + + + +
IJAYA FriedmanAligned + + + +
IJAYA Quade - - - -
NDE Friedman + + + +
NDE FriedmanAligned - - - -
NDE Quade - - - -
EBLSHADE Friedman - - - -
EBLSHADE FriedmanAligned - - - -
EBLSHADE Quade - - - -
ADELI Friedman - - - -
ADELI FriedmanAligned - - - -
ADELI Quade - - - -
STLBO Friedman - - - -
STLBO FriedmanAligned - - - -
STLBO Quade - - - -
