Algorithm Test Finner Holm Hochberg Holland 
GOTLBO Friedman + + + +
GOTLBO FriedmanAligned + + + +
GOTLBO Quade + + + +
PSO Friedman + + + +
PSO FriedmanAligned + + + +
PSO Quade + + + +
MABC Friedman + + + +
MABC FriedmanAligned + + + +
MABC Quade + + + +
WW Friedman + + + +
WW FriedmanAligned + + + +
WW Quade + + + +
CWOA Friedman + + + +
CWOA FriedmanAligned + + + +
CWOA Quade + + + +
DE Friedman + + + +
DE FriedmanAligned + + + +
DE Quade + - - -
NNA Friedman + + + +
NNA FriedmanAligned + + + +
NNA Quade + + + +
ISCA Friedman + + + +
ISCA FriedmanAligned + + + +
ISCA Quade + + + +
IJAYA Friedman + + + +
IJAYA FriedmanAligned + + + +
IJAYA Quade + - - -
NDE Friedman + + + +
NDE FriedmanAligned + - - -
NDE Quade - - - -
TLBO Friedman - - - -
TLBO FriedmanAligned - - - -
TLBO Quade - - - -
ADELI Friedman - - - -
ADELI FriedmanAligned - - - -
ADELI Quade - - - -
STLBO Friedman - - - -
STLBO FriedmanAligned - - - -
STLBO Quade - - - -
