Algorithm Test Finner Holm Hochberg Holland 
GOTLBO Friedman + + + +
GOTLBO FriedmanAligned + + + +
GOTLBO Quade + + + +
PSO Friedman + + + +
PSO FriedmanAligned + + + +
PSO Quade + + + +
MABC Friedman + + + +
MABC FriedmanAligned + + + +
MABC Quade + + + +
WW Friedman + + + +
WW FriedmanAligned + + + +
WW Quade + + + +
DE Friedman + + + +
DE FriedmanAligned + + + +
DE Quade + - - -
CWOA Friedman + + + +
CWOA FriedmanAligned + + + +
CWOA Quade + + + +
IJAYA Friedman + + + +
IJAYA FriedmanAligned + + + +
IJAYA Quade + - - -
ISCA Friedman + + + +
ISCA FriedmanAligned + + + +
ISCA Quade + + + +
NNA Friedman + + + +
NNA FriedmanAligned + + + +
NNA Quade + + + +
NDE Friedman + + + +
NDE FriedmanAligned + - - -
NDE Quade - - - -
TLBO Friedman - - - -
TLBO FriedmanAligned - - - -
TLBO Quade - - - -
EBLSHADE Friedman - - - -
EBLSHADE FriedmanAligned - - - -
EBLSHADE Quade - - - -
ADELI Friedman - - - -
ADELI FriedmanAligned - - - -
ADELI Quade - - - -
