Algorithm Test Finner Holm Hochberg Holland 
GOTLBO Friedman + + + +
GOTLBO FriedmanAligned + + + +
GOTLBO Quade + + + +
PSO Friedman + + + +
PSO FriedmanAligned + + + +
PSO Quade + + + +
MABC Friedman + + + +
MABC FriedmanAligned + + + +
MABC Quade + + + +
WW Friedman + + + +
WW FriedmanAligned + + + +
WW Quade + + + +
DE Friedman + + + +
DE FriedmanAligned + + + +
DE Quade + - - -
IJAYA Friedman + + + +
IJAYA FriedmanAligned + + + +
IJAYA Quade + - - -
CWOA Friedman + + + +
CWOA FriedmanAligned + + + +
CWOA Quade + + + +
NNA Friedman + + + +
NNA FriedmanAligned + + + +
NNA Quade + + + +
ISCA Friedman + + + +
ISCA FriedmanAligned + + + +
ISCA Quade + + + +
NDE Friedman + + + +
NDE FriedmanAligned + - - -
NDE Quade - - - -
TLBO Friedman - - - -
TLBO FriedmanAligned - - - -
TLBO Quade - - - -
EBLSHADE Friedman - - - -
EBLSHADE FriedmanAligned - - - -
EBLSHADE Quade - - - -
STLBO Friedman - - - -
STLBO FriedmanAligned - - - -
STLBO Quade - - - -
