T d154 d184 d214 d244
d 150 180 210 240
290 1.244638025E+00 1.243153246E+00 1.240957190E+00 1.240626991E+00
295 1.245060028E+00 1.243730107E+00 1.241897428E+00 1.241487347E+00
300 1.246093684E+00 1.244834469E+00 1.243152014E+00 1.242816746E+00
305 1.247246077E+00 1.246048374E+00 1.244448743E+00 1.244239852E+00
310 1.247912776E+00 1.246112982E+00 1.245159698E+00 1.245184272E+00
315 1.247039351E+00 1.245281553E+00 1.244306732E+00 1.244493908E+00
320 1.243093885E+00 1.241446985E+00 1.240619368E+00 1.240916482E+00
325 1.233097435E+00 1.231921544E+00 1.231404239E+00 1.231875827E+00
330 1.212862996E+00 1.212393475E+00 1.212669305E+00 1.213836368E+00
335 1.175425664E+00 1.174845224E+00 1.178266218E+00 1.180673813E+00
340 1.112543829E+00 1.114447622E+00 1.120396887E+00 1.124835835E+00
