T d154 d184 d214 d244
d 150 180 210 240
290 1.235361738E+00 1.232786079E+00 1.229347648E+00 1.227728736E+00
295 1.236626671E+00 1.234166515E+00 1.231054432E+00 1.229322677E+00
300 1.238046587E+00 1.235490819E+00 1.232359830E+00 1.230529919E+00
305 1.238919994E+00 1.236056563E+00 1.232642397E+00 1.230571895E+00
310 1.238249218E+00 1.234094521E+00 1.230633754E+00 1.228131980E+00
315 1.234274533E+00 1.228893714E+00 1.224196448E+00 1.220711611E+00
320 1.224176267E+00 1.216639473E+00 1.209957045E+00 1.204635030E+00
325 1.202929127E+00 1.191969142E+00 1.182022993E+00 1.173715200E+00
330 1.163543971E+00 1.147064551E+00 1.132356901E+00 1.119985569E+00
335 1.097069686E+00 1.071781294E+00 1.052721012E+00 1.035498937E+00
340 1.008744314E+00 1.007926365E+00 1.007353148E+00 1.006894090E+00
