Fe nFsrh nFBsrh dnsrh nF nFB dn
1.000000E+10 1.168416029E+00 1.140478072E+00 2.793795700E-02 1.159235434E+00 1.132901893E+00 2.633354100E-02
1.468000E+10 1.168509010E+00 1.140569560E+00 2.793945000E-02 1.160158924E+00 1.134968319E+00 2.519060500E-02
2.154000E+10 1.168645299E+00 1.140703558E+00 2.794174100E-02 1.160801144E+00 1.136637245E+00 2.416389900E-02
3.162000E+10 1.168844928E+00 1.140899624E+00 2.794530400E-02 1.161251477E+00 1.137983399E+00 2.326807800E-02
4.642000E+10 1.169137075E+00 1.141186113E+00 2.795096200E-02 1.163157552E+00 1.139108145E+00 2.404940700E-02
6.813000E+10 1.169564002E+00 1.141603858E+00 2.796014400E-02 1.165303187E+00 1.140124610E+00 2.517857700E-02
1.000000E+11 1.170186648E+00 1.142211143E+00 2.797550500E-02 1.167160437E+00 1.141153299E+00 2.600713800E-02
1.468000E+11 1.171092064E+00 1.143090171E+00 2.800189300E-02 1.168938498E+00 1.142325779E+00 2.661271900E-02
2.154000E+11 1.171656288E+00 1.144354739E+00 2.730154900E-02 1.170859286E+00 1.143793067E+00 2.706621900E-02
3.162000E+11 1.171822269E+00 1.144879030E+00 2.694323900E-02 1.171719530E+00 1.144787392E+00 2.693213800E-02
4.642000E+11 1.172044401E+00 1.145358158E+00 2.668624300E-02 1.171974294E+00 1.145295382E+00 2.667891200E-02
6.813000E+11 1.172331376E+00 1.145941702E+00 2.638967400E-02 1.172283510E+00 1.145898650E+00 2.638486000E-02
1.000000E+12 1.172685925E+00 1.146612992E+00 2.607293300E-02 1.172653232E+00 1.146583438E+00 2.606979400E-02
1.468000E+12 1.173100894E+00 1.147228239E+00 2.587265500E-02 1.173078549E+00 1.147208003E+00 2.587054600E-02
2.154000E+12 1.173351341E+00 1.147934790E+00 2.541655100E-02 1.173336121E+00 1.147920885E+00 2.541523600E-02
3.162000E+12 1.173761792E+00 1.148671385E+00 2.509040700E-02 1.173751388E+00 1.148661848E+00 2.508954000E-02
4.642000E+12 1.174207962E+00 1.149187136E+00 2.502082600E-02 1.174200856E+00 1.149180588E+00 2.502026800E-02
6.813000E+12 1.178978088E+00 1.149782092E+00 2.919599600E-02 1.178766746E+00 1.149777614E+00 2.898913200E-02
1.000000E+13 1.184674391E+00 1.15065974E+00 3.401465100E-02 1.184670753E+00 1.15023582E+00 3.443493300E-02
