N_Fe N_B T d n_Fe n_Fe_SRH
1.000000E+10 1.000E+17 315 1.800E-4 1.261123529E+00 1.322334737E+00
1.468000E+10 1.000E+17 315 1.800E-4 1.274922763E+00 1.322417660E+00
2.154000E+10 1.000E+17 315 1.800E-4 1.285613860E+00 1.322538602E+00
3.162000E+10 1.000E+17 315 1.800E-4 1.293938061E+00 1.322714555E+00
4.642000E+10 1.000E+17 315 1.800E-4 1.300546253E+00 1.322969521E+00
6.813000E+10 1.000E+17 315 1.800E-4 1.305938491E+00 1.323336920E+00
1.000000E+11 1.000E+17 315 1.800E-4 1.310469776E+00 1.323862144E+00
1.468000E+11 1.000E+17 315 1.800E-4 1.314394439E+00 1.324604779E+00
2.154000E+11 1.000E+17 315 1.800E-4 1.317919203E+00 1.325639350E+00
3.162000E+11 1.000E+17 315 1.800E-4 1.321240261E+00 1.327052780E+00
4.642000E+11 1.000E+17 315 1.800E-4 1.324553749E+00 1.328936834E+00
6.813000E+11 1.000E+17 315 1.800E-4 1.328043658E+00 1.331374569E+00
1.000000E+12 1.000E+17 315 1.800E-4 1.331858763E+00 1.334422637E+00
1.468000E+12 1.000E+17 315 1.800E-4 1.336108197E+00 1.338110650E+00
2.154000E+12 1.000E+17 315 1.800E-4 1.340796530E+00 1.342384270E+00
3.162000E+12 1.000E+17 315 1.800E-4 1.345914066E+00 1.347189131E+00
4.642000E+12 1.000E+17 315 1.800E-4 1.351343726E+00 1.352376729E+00
6.813000E+12 1.000E+17 315 1.800E-4 1.357070714E+00 1.357908767E+00
1.000000E+13 1.000E+17 315 1.800E-4 1.363036739E+00 1.363710584E+00
