N_Fe d154 d184 d214 d244
d 150 180 210 240
1.000000000E+01 3.495504000E-03 2.856432000E-03 2.427941000E-03 2.121930000E-03
1.016672606E+01 2.479809000E-03 2.012688000E-03 1.702040000E-03 1.481575000E-03
1.033324570E+01 1.740204000E-03 1.405593000E-03 1.184434000E-03 1.028212000E-03
1.049996187E+01 1.211555000E-03 9.754510000E-04 8.201070000E-04 7.107390000E-04
1.066670514E+01 8.389360000E-04 6.741750000E-04 5.661270000E-04 4.902390000E-04
1.083333839E+01 5.789540000E-04 4.649000000E-04 3.902990000E-04 3.379860000E-04
1.100000000E+01 3.988770000E-04 3.256700000E-04 2.691770000E-04 2.332980000E-04
1.116672606E+01 2.747890000E-04 2.265570000E-04 1.867470000E-04 1.615190000E-04
1.133324570E+01 1.895820000E-04 1.565700000E-04 1.296710000E-04 1.124080000E-04
1.149996187E+01 1.312170000E-04 1.093210000E-04 9.056900000E-05 7.885800000E-05
1.166670514E+01 9.130000000E-05 7.639800000E-05 6.384300000E-05 5.597000000E-05
1.183333839E+01 6.403800000E-05 5.391200000E-05 4.559700000E-05 4.073100000E-05
1.200000000E+01 4.590300000E-05 3.855800000E-05 3.315900000E-05 2.987400000E-05
1.216672606E+01 3.299500000E-05 2.809700000E-05 2.466800000E-05 2.254100000E-05
1.233324570E+01 2.418000000E-05 2.102900000E-05 1.886100000E-05 1.758500000E-05
1.249996187E+01 1.815300000E-05 1.616500000E-05 1.486100000E-05 1.409300000E-05
1.266670514E+01 1.402500000E-05 1.282000000E-05 1.206400000E-05 1.160400000E-05
1.283333839E+01 1.113200000E-05 1.045400000E-05 1.004200000E-05 9.798000000E-06
1.300000000E+01 9.085000000E-06 8.724000000E-06 8.509000000E-06 8.388000000E-06
