fname time Tem kT_1 n1 Rs tau_n Rsh n2 tau_g dev 
00T1 8:07:54 291 39.84 1.000E+000 1.380E+000 2.963E-006 1.545E+004 2.640E+000 1.400E-008 1.186E-003 
00T2 8:31:02 295.1 39.29 1.000E+000 1.367E+000 3.422E-006 1.361E+004 2.613E+000 1.665E-008 1.117E-003 
00T3 8:50:44 298 38.91 1.000E+000 1.069E+000 2.916E-006 1.270E+004 2.603E+000 1.842E-008 1.045E-003 
00T4 9:12:18 301.3 38.48 1.000E+000 9.710E-001 2.854E-006 1.126E+004 2.586E+000 2.097E-008 8.819E-004 
00T5 9:31:00 305.8 37.91 1.000E+000 9.660E-001 3.089E-006 9.938E+003 2.571E+000 2.428E-008 7.761E-004 
00T6 9:47:56 308.8 37.55 1.000E+000 9.276E-001 3.318E-006 8.964E+003 2.566E+000 2.641E-008 7.328E-004 
00T7 10:10:00 311.5 37.22 1.000E+000 9.226E-001 3.442E-006 8.083E+003 2.551E+000 2.906E-008 6.130E-004 
00T8 10:26:30 315.5 36.75 1.000E+000 9.435E-001 3.456E-006 6.965E+003 2.540E+000 3.246E-008 5.446E-004 
00T9 10:45:48 318.8 36.37 1.000E+000 9.940E-001 3.396E-006 6.050E+003 2.537E+000 3.517E-008 5.086E-004 
0T10 11:07:18 322 36.01 1.000E+000 9.955E-001 3.460E-006 5.619E+003 2.544E+000 3.743E-008 4.792E-004 
0T11 11:25:44 325.5 35.62 1.000E+000 9.990E-001 3.757E-006 4.666E+003 2.518E+000 4.234E-008 4.999E-004 
0T12 11:44:00 329.7 35.17 1.000E+000 9.931E-001 4.195E-006 4.081E+003 2.512E+000 4.663E-008 4.428E-004 
0T13 12:02:14 332.2 34.9 1.000E+000 1.085E+000 3.651E-006 3.904E+003 2.539E+000 4.709E-008 4.254E-004 
0T14 12:17:24 335.7 34.54 1.000E+000 1.039E+000 4.420E-006 3.052E+003 2.492E+000 5.482E-008 3.724E-004 
0T15 12:33:12 337.9 34.31 1.000E+000 1.032E+000 4.605E-006 2.739E+003 2.486E+000 5.732E-008 4.820E-004 
0T16 12:49:00 340.7 34.03 1.000E+000 1.033E+000 4.743E-006 2.503E+003 2.485E+000 6.082E-008 3.830E-004 
