N_Fe N_B T d Jsc_Fe Eta_Fe Voc_Fe FF_Fe
1.000000E+10 1.000E+16 310 2.800E-4 2.919912E-1 2.610970E+1 4.557340E-1 7.848410E+1
1.468000E+10 1.000E+16 310 2.800E-4 2.912121E-1 2.601130E+1 4.553110E-1 7.847040E+1
2.154000E+10 1.000E+16 310 2.800E-4 2.900864E-1 2.586990E+1 4.547070E-1 7.845080E+1
3.162000E+10 1.000E+16 310 2.800E-4 2.884716E-1 2.566870E+1 4.538570E-1 7.842300E+1
4.642000E+10 1.000E+16 310 2.800E-4 2.861784E-1 2.538590E+1 4.526790E-1 7.838380E+1
6.813000E+10 1.000E+16 310 2.800E-4 2.829680E-1 2.499510E+1 4.510810E-1 7.832920E+1
1.000000E+11 1.000E+16 310 2.800E-4 2.785604E-1 2.446690E+1 4.489120E-1 7.826350E+1
1.468000E+11 1.000E+16 310 2.800E-4 2.726661E-1 2.375950E+1 4.460970E-1 7.813350E+1
2.154000E+11 1.000E+16 310 2.800E-4 2.650466E-1 2.288690E+1 4.426960E-1 7.802240E+1
3.162000E+11 1.000E+16 310 2.800E-4 2.555974E-1 2.183410E+1 4.386660E-1 7.789450E+1
4.642000E+11 1.000E+16 310 2.800E-4 2.444215E-1 2.060790E+1 4.340540E-1 7.769840E+1
6.813000E+11 1.000E+16 310 2.800E-4 2.318379E-1 1.928150E+1 4.290950E-1 7.752870E+1
1.000000E+12 1.000E+16 310 2.800E-4 2.182916E-1 1.787520E+1 4.237420E-1 7.729880E+1
1.468000E+12 1.000E+16 310 2.800E-4 2.042021E-1 1.646000E+1 4.181880E-1 7.710090E+1
2.154000E+12 1.000E+16 310 2.800E-4 1.898470E-1 1.503610E+1 4.123590E-1 7.682730E+1
3.162000E+12 1.000E+16 310 2.800E-4 1.753556E-1 1.363990E+1 4.062010E-1 7.659690E+1
4.642000E+12 1.000E+16 310 2.800E-4 1.607937E-1 1.225570E+1 3.997860E-1 7.626120E+1
6.813000E+12 1.000E+16 310 2.800E-4 1.462573E-1 1.090520E+1 3.928700E-1 7.591530E+1
1.000000E+13 1.000E+16 310 2.800E-4 1.319103E-1 9.610500E+0 3.855800E-1 7.558130E+1
1.468000E+13 1.000E+16 310 2.800E-4 1.179625E-1 8.373400E+0 3.779280E-1 7.512900E+1
2.154000E+13 1.000E+16 310 2.800E-4 1.046276E-1 7.218900E+0 3.699030E-1 7.461010E+1
3.162000E+13 1.000E+16 310 2.800E-4 9.208978E-2 6.159900E+0 3.613930E-1 7.403670E+1
4.642000E+13 1.000E+16 310 2.800E-4 8.048744E-2 5.207700E+0 3.524700E-1 7.342710E+1
6.813000E+13 1.000E+16 310 2.800E-4 6.990807E-2 4.356000E+0 3.431070E-1 7.264270E+1
1.000000E+14 1.000E+16 310 2.800E-4 6.039063E-2 3.608000E+0 3.332470E-1 7.171260E+1
