f G/w
1.0000000E+6 1.7012913E-5
8.9779585E+5 1.7520591E-5
8.0603739E+5 1.8014134E-5
7.2365703E+5 1.8464304E-5
6.4969628E+5 1.8932531E-5
5.8329463E+5 1.9414931E-5
5.2367949E+5 1.9930972E-5
4.7015728E+5 2.0441215E-5
4.2210526E+5 2.0990999E-5
3.7896435E+5 2.1520863E-5
3.4023262E+5 2.2058206E-5
3.0545943E+5 2.2630746E-5
2.7424021E+5 2.3249480E-5
2.4621173E+5 2.3860761E-5
2.2104787E+5 2.4514987E-5
1.9845586E+5 2.5177283E-5
1.7817285E+5 2.5930707E-5
1.5996284E+5 2.6675346E-5
1.4361398E+5 2.7492371E-5
1.2893603E+5 2.8305300E-5
1.1575824E+5 2.9287639E-5
1.0392726E+5 3.0491471E-5
9.3305466E+4 3.1656941E-5
8.3769261E+4 3.3101994E-5
7.5207695E+4 3.4705572E-5
6.7521156E+4 3.6597503E-5
6.0620214E+4 3.8833281E-5
5.4424577E+4 4.1640678E-5
4.8862159E+4 4.4594147E-5
4.3868244E+4 4.7970320E-5
3.9384728E+4 5.1940984E-5
3.5359445E+4 5.6303575E-5
3.1745563E+4 6.1298943E-5
2.8501035E+4 6.7115009E-5
2.5588111E+4 7.3658618E-5
2.2972900E+4 8.1141246E-5
2.0624974E+4 8.9182207E-5
1.8517016E+4 9.7994274E-5
1.6624501E+4 1.0890869E-4
1.4925408E+4 1.2032592E-4
1.3399969E+4 1.3394750E-4
1.2030437E+4 1.4873666E-4
1.0800876E+4 1.6496946E-4
9.6969820E+3 1.8298141E-4
8.7059100E+3 2.0324097E-4
7.8161300E+3 2.2718452E-4
7.0172890E+3 2.5251419E-4
6.3000930E+3 2.8210858E-4
5.6561970E+3 3.1310067E-4
5.0781110E+3 3.4986723E-4
4.5591070E+3 3.8833561E-4
4.0931470E+3 4.3142823E-4
3.6748100E+3 4.7987155E-4
3.2992300E+3 5.3318427E-4
2.9620350E+3 5.9604589E-4
2.6593020E+3 6.6403482E-4
2.3875110E+3 7.3570342E-4
2.1434970E+3 8.2074419E-4
1.9244230E+3 9.1712593E-4
1.7277390E+3 1.0206702E-3
1.5511570E+3 1.1380044E-3
1.3926220E+3 1.2656456E-3
1.2502900E+3 1.4057147E-3
1.1225050E+3 1.5620215E-3
1.0077810E+3 1.7490467E-3
9.0478100E+2 1.9406568E-3
8.1230900E+2 2.1703950E-3
7.2928800E+2 2.4243663E-3
6.5475100E+2 2.7049660E-3
5.8783300E+2 3.0171607E-3
5.2775400E+2 3.3753685E-3
4.7381500E+2 3.7410818E-3
4.2539000E+2 4.1942029E-3
3.8191300E+2 4.6636118E-3
3.4288000E+2 5.1752874E-3
3.0783600E+2 5.7476140E-3
2.7637400E+2 6.3831708E-3
2.4812700E+2 7.1421500E-3
2.2276800E+2 7.9534982E-3
2.0000000E+2 8.8292706E-3
