N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 1.187462953E+00 1.188164976E+00 1.188685885E+00 1.189083331E+00 1.189406195E+00 1.189697005E+00 1.189995391E+00 1.190341972E+00 1.190782277E+00 1.191378709E+00 1.192191219E+00 1.193279125E+00 1.194752137E+00 1.196670363E+00 1.199120749E+00 1.202132464E+00 1.205699016E+00 1.209759605E+00 1.214240005E+00
1.600000000E+01 1.201718754E+00 1.203540919E+00 1.204985408E+00 1.206169474E+00 1.207207746E+00 1.208212260E+00 1.209293350E+00 1.210560268E+00 1.212123196E+00 1.214073159E+00 1.216490798E+00 1.219426595E+00 1.222884256E+00 1.226838102E+00 1.231236981E+00 1.236023572E+00 1.241149898E+00 1.246583559E+00 1.252285890E+00
1.700000000E+01 1.212765500E+00 1.218024923E+00 1.222468262E+00 1.226415583E+00 1.230134135E+00 1.233790311E+00 1.237496250E+00 1.241318620E+00 1.245300340E+00 1.249482827E+00 1.253892842E+00 1.258579263E+00 1.263552068E+00 1.268846435E+00 1.274466402E+00 1.280390976E+00 1.286624385E+00 1.293099264E+00 1.299770857E+00
1.549996187E+01 1.192318451E+00 1.193542930E+00 1.194479622E+00 1.195211148E+00 1.195814777E+00 1.196362414E+00 1.196923339E+00 1.197568406E+00 1.198374244E+00 1.199439785E+00 1.200828827E+00 1.202648817E+00 1.204983529E+00 1.207894738E+00 1.211392946E+00 1.215445856E+00 1.219985237E+00 1.224928237E+00 1.230203447E+00
1.649996187E+01 1.199654566E+00 1.202503391E+00 1.204854164E+00 1.206910417E+00 1.208855681E+00 1.210853035E+00 1.213039584E+00 1.215519514E+00 1.218359498E+00 1.221589353E+00 1.225209062E+00 1.229201162E+00 1.233544872E+00 1.238225622E+00 1.243235603E+00 1.248564457E+00 1.254200788E+00 1.260135983E+00 1.266326047E+00
1.674996808E+01 1.202906878E+00 1.206726793E+00 1.209936705E+00 1.212810402E+00 1.215555953E+00 1.218354777E+00 1.221328409E+00 1.224547612E+00 1.228065306E+00 1.231859952E+00 1.235943910E+00 1.240325497E+00 1.245011775E+00 1.250022554E+00 1.255343007E+00 1.260990888E+00 1.266952650E+00 1.273207873E+00 1.279687886E+00
1.624993176E+01 1.201214329E+00 1.203437919E+00 1.205234094E+00 1.206755404E+00 1.208146936E+00 1.209547179E+00 1.211086330E+00 1.212882001E+00 1.215032297E+00 1.217615713E+00 1.220652442E+00 1.224156225E+00 1.228088227E+00 1.232417381E+00 1.237108330E+00 1.242134786E+00 1.247468145E+00 1.253099557E+00 1.258997547E+00
1.574996808E+01 1.197872459E+00 1.199397510E+00 1.200585867E+00 1.201533528E+00 1.202334103E+00 1.203077975E+00 1.203854122E+00 1.204753331E+00 1.205870720E+00 1.207305152E+00 1.209153796E+00 1.211505234E+00 1.214411344E+00 1.217882087E+00 1.221895377E+00 1.226391017E+00 1.231295032E+00 1.236544201E+00 1.242082108E+00
1.524993176E+01 1.190153764E+00 1.191098350E+00 1.191808379E+00 1.192354313E+00 1.192798605E+00 1.193197125E+00 1.193602516E+00 1.194068477E+00 1.194659902E+00 1.195434648E+00 1.196476714E+00 1.197878499E+00 1.199722180E+00 1.202088605E+00 1.205027941E+00 1.208544874E+00 1.212597474E+00 1.217114838E+00 1.222002655E+00
