fname time Tem kT_1 Nfe tau_r Wph Em rmsre 
L0113 1380405743 0 555 4.110688732E+19 9.999997434E+01 1.532488906E-04 6.816171077E-01 2.537520466E-02 
L0113 1380405743 0 555 4.110688732E+19 9.999997430E+01 1.532488906E-04 6.816171077E-01 2.537520466E-02 
L0113 1380405743 0 555 4.110688732E+19 9.999997429E+01 1.532488906E-04 6.816171077E-01 2.537520466E-02 
L0115U4 1380405825 0 555 4.109193309E+19 9.999989221E+01 1.536255243E-04 6.803149865E-01 3.433924677E-03 
L0115U4 1380405825 0 555 4.109193309E+19 9.999989224E+01 1.536255243E-04 6.803149865E-01 3.433924677E-03 
L0115U4 1380405825 0 555 4.109193309E+19 9.999989226E+01 1.536255243E-04 6.803149865E-01 3.433924677E-03 
L0118U5 1380405945 0 555 8.881753619E+19 1.102482594E-01 1.959687989E-04 6.868328387E-01 3.594067109E-03 
L0118U5 1380405945 0 555 4.587364124E+20 9.470863358E-08 3.942675221E-04 6.881565345E-01 3.583151085E-03 
L0118U5 1380405945 0 555 9.050734864E+19 3.319527544E-05 1.974263306E-04 6.868571000E-01 3.593876266E-03 
L0127 1380405517 0 555 2.207744584E+19 9.999998760E+01 3.245577551E-04 6.799783167E-01 1.497931561E-03 
L0127 1380405517 0 555 2.207744584E+19 9.999998760E+01 3.245577551E-04 6.799783167E-01 1.497931561E-03 
L0127 1380405517 0 555 2.207744584E+19 9.999999035E+01 3.245577551E-04 6.799783167E-01 1.497931561E-03 
L0127U5 1380405592 0 555 2.579763724E+19 9.999996187E+01 3.292100415E-04 6.788896977E-01 1.496029131E-03 
L0127U5 1380405592 0 555 2.579763724E+19 9.999996186E+01 3.292100415E-04 6.788896977E-01 1.496029131E-03 
L0127U5 1380405592 0 555 2.579763724E+19 9.999991851E+01 3.292100415E-04 6.788896977E-01 1.496029131E-03 
L0128 1380405643 0 555 1.358127973E+19 9.999998413E+01 2.954539070E-04 6.780570237E-01 1.561794812E-03 
L0128 1380405643 0 555 1.358127973E+19 9.999998413E+01 2.954539070E-04 6.780570237E-01 1.561794812E-03 
L0128 1380405643 0 555 1.358127973E+19 9.999995290E+01 2.954539070E-04 6.780570237E-01 1.561794812E-03 
L0128U17 1380405702 0 555 2.571265625E+19 9.999999999E+01 3.290748895E-04 6.789056360E-01 1.622622728E-03 
L0128U17 1380405702 0 555 2.571265625E+19 9.999998965E+01 3.290748895E-04 6.789056360E-01 1.622622728E-03 
L0128U17 1380405702 0 555 2.571265625E+19 9.999994338E+01 3.290748895E-04 6.789056360E-01 1.622622728E-03 
