fname time Tem kT_1 Nfe tau_r Wph Em rmsre 
L0113 1380687012 0 555 3.945240332E+19 9.999995500E+01 1.510668055E-04 6.794985907E-01 2.658143544E-03 
L0113 1380687012 0 555 3.945240332E+19 9.999995446E+01 1.510668055E-04 6.794985907E-01 2.658143544E-03 
L0113 1380687012 0 555 3.945240332E+19 9.999998399E+01 1.510668055E-04 6.794985907E-01 2.658143544E-03 
L0115U4 1380405825 0 555 3.943325857E+19 9.999999052E+01 1.514763430E-04 6.782955922E-01 3.424582472E-03 
L0115U4 1380405825 0 555 3.943325857E+19 9.999999046E+01 1.514763430E-04 6.782955922E-01 3.424582472E-03 
L0115U4 1380405825 0 555 3.943325857E+19 9.999989002E+01 1.514763430E-04 6.782955922E-01 3.424582472E-03 
L0118U5 1380405945 0 555 8.404887142E+19 2.094133032E+00 1.918847420E-04 6.847766358E-01 3.594620086E-03 
L0118U5 1380405945 0 555 8.427920515E+19 2.409651433E-04 1.920896701E-04 6.847802915E-01 3.594593232E-03 
L0118U5 1380405945 0 555 8.405248094E+19 1.527534032E-02 1.918879555E-04 6.847766930E-01 3.594619696E-03 
L0127 1380405517 0 555 2.135132744E+19 9.999998012E+01 3.212133524E-04 6.779291235E-01 1.493484775E-03 
L0127 1380405517 0 555 2.135132744E+19 9.999998343E+01 3.212133524E-04 6.779291235E-01 1.493484775E-03 
L0127 1380405517 0 555 2.135132744E+19 9.999998011E+01 3.212133524E-04 6.779291235E-01 1.493484775E-03 
L0127U5 1380405592 0 555 2.491656593E+19 9.999999304E+01 3.255820255E-04 6.768484442E-01 1.491080505E-03 
L0127U5 1380405592 0 555 2.491656593E+19 9.999998839E+01 3.255820255E-04 6.768484442E-01 1.491080505E-03 
L0127U5 1380405592 0 555 2.491656593E+19 9.999999303E+01 3.255820255E-04 6.768484442E-01 1.491080505E-03 
L0128 1380405643 0 555 1.317750775E+19 9.999997804E+01 2.930171639E-04 6.760401042E-01 1.558604960E-03 
L0128 1380405643 0 555 1.317750775E+19 9.999997809E+01 2.930171639E-04 6.760401042E-01 1.558604960E-03 
L0128 1380405643 0 555 1.317750775E+19 9.999997810E+01 2.930171639E-04 6.760401042E-01 1.558604960E-03 
L0128U17 1380405702 0 555 2.483771519E+19 9.999997557E+01 3.254695711E-04 6.768736849E-01 1.615125222E-03 
L0128U17 1380405702 0 555 2.483771514E+19 9.999997030E+01 3.254695710E-04 6.768736850E-01 1.615125216E-03 
L0128U17 1380405702 0 555 2.483771524E+19 9.999998399E+01 3.254695713E-04 6.768736849E-01 1.615125228E-03 
