fname time Tem kT_1 A Rs Io Rsh Iph Voc Isc Pm FF dev 
02FR 2fr.dat 291.3 39.8 2.272E+001 4.102E+002 2.057E-009 3.403E+005 6.839E-006 3.497E-001 6.829E-006 1.371E-006 5.742E-001 2.267E-002 
04FR 4fr.dat 295.7 39.21 2.282E+001 3.753E+002 2.328E-009 3.452E+005 6.477E-006 3.403E-001 6.468E-006 1.254E-006 5.699E-001 1.234E-002 
06FR 6fr.dat 300.4 38.6 2.275E+001 3.543E+002 2.899E-009 3.615E+005 6.309E-006 3.310E-001 6.300E-006 1.184E-006 5.680E-001 7.692E-002 
08FR 8fr.dat 304.4 38.09 2.297E+001 3.434E+002 3.176E-009 3.477E+005 6.183E-006 3.226E-001 6.174E-006 1.122E-006 5.633E-001 4.029E-002 
10FR 10fr.dat 309.4 37.47 2.246E+001 3.129E+002 4.942E-009 3.918E+005 6.038E-006 3.102E-001 6.028E-006 1.048E-006 5.608E-001 9.395E-003 
12FR 12fr.dat 316.8 36.6 2.237E+001 2.913E+002 6.893E-009 3.793E+005 5.647E-006 2.933E-001 5.636E-006 9.057E-007 5.479E-001 1.881E-002 
14FR 14fr.dat 320.9 36.13 2.218E+001 2.772E+002 8.961E-009 3.847E+005 5.445E-006 2.825E-001 5.432E-006 8.295E-007 5.406E-001 6.103E-003 
16FR 16fr.dat 328.1 35.34 2.177E+001 2.482E+002 1.474E-008 4.131E+005 5.184E-006 2.633E-001 5.165E-006 7.194E-007 5.290E-001 1.586E-002 
18FR 18fr.dat 333.1 34.81 2.157E+001 2.255E+002 1.959E-008 3.952E+005 4.973E-006 2.504E-001 4.950E-006 6.404E-007 5.167E-001 3.758E-003 
20FR 20fr.dat 338.2 34.28 2.124E+001 2.087E+002 2.747E-008 3.868E+005 5.210E-006 2.409E-001 5.179E-006 6.356E-007 5.094E-001 2.063E-002 
22FR 22fr.dat 343.3 33.77 2.104E+001 1.912E+002 3.592E-008 3.743E+005 4.982E-006 2.282E-001 4.942E-006 5.604E-007 4.969E-001 4.021E-003 
